Stephane PERIER POSITION,Stephane PERIER LAP TIME,Stephane PERIER ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,WANG Hong Yang POSITION,WANG Hong Yang LAP TIME,WANG Hong Yang ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
2,6.93,6.93,1,6.83,6.83,3,7.01,7.01,4,7.13,7.13
3,9.28,16.22,1,9.31,16.15,2,9.16,16.18,4,9.13,16.27
3,8.95,25.18,1,8.85,25.00,2,8.82,25.01,4,9.01,25.29
3,9.13,34.31,1,8.92,33.92,2,8.93,33.94,4,9.35,34.64
3,9.15,43.454,1,9.42,43.338,2,9.44,43.379,4,9.04,43.680
