BACSKAI Sara Luca POSITION,BACSKAI Sara Luca LAP TIME,BACSKAI Sara Luca ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME
3,7.74,7.74,1,7.28,7.28,4,7.85,7.85,2,7.39,7.39
3,9.70,17.44,1,9.38,16.66,4,9.81,17.66,2,9.38,16.77
3,9.08,26.52,1,9.00,25.66,4,8.93,26.59,2,8.98,25.75
3,9.21,35.73,2,9.17,34.83,4,9.16,35.75,1,9.07,34.82
4,9.72,45.443,2,9.48,44.309,3,9.20,44.942,1,9.19,44.009
