Benjamin MACE POSITION,Benjamin MACE LAP TIME,Benjamin MACE ELAPSED TIME,KIM Yong-Sung POSITION,KIM Yong-Sung LAP TIME,KIM Yong-Sung ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME
2,13.90,13.90,3,13.93,13.93,4,15.04,15.04,1,13.50,13.50
3,9.69,23.60,2,9.58,23.52,4,8.59,23.64,1,9.95,23.46
2,9.58,33.19,4,9.69,33.21,1,9.51,33.16,3,9.72,33.19
2,9.73,42.92,4,9.93,43.14,3,9.76,42.93,1,9.61,42.80
1,9.59,52.52,3,9.38,52.53,2,9.60,52.53,4,9.83,52.63
4,9.62,1:02.15,1,9.15,1:01.68,3,9.32,1:01.86,2,9.12,1:01.76
3,9.84,1:11.99,1,9.85,1:11.54,2,9.91,1:11.77,4,10.83,1:12.59
3,9.78,1:21.77,2,9.92,1:21.47,1,9.68,1:21.45,4,10.41,1:23.00
3,9.91,1:31.680,1,9.67,1:31.134,2,9.92,1:31.367,0,,DQ
