Marc-Andre MONETTE POSITION,Marc-Andre MONETTE LAP TIME,Marc-Andre MONETTE ELAPSED TIME,Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,LIU Xianwei POSITION,LIU Xianwei LAP TIME,LIU Xianwei ELAPSED TIME,LEE Ho-Suk POSITION,LEE Ho-Suk LAP TIME,LEE Ho-Suk ELAPSED TIME
2,12.81,12.81,1,12.80,12.80,3,13.12,13.12,4,13.13,13.13
2,9.82,22.63,1,9.70,22.50,3,9.66,22.78,4,9.84,22.97
2,9.48,32.12,1,9.50,32.01,3,9.39,32.17,4,9.36,32.33
2,9.12,41.25,1,8.99,41.00,3,9.19,41.36,4,9.16,41.50
2,9.11,50.36,1,9.18,50.19,3,9.05,50.42,4,9.12,50.62
2,9.23,59.60,1,9.07,59.27,3,9.38,59.80,4,9.19,59.82
2,9.20,1:08.81,1,8.94,1:08.21,4,23.93,1:23.74,3,9.06,1:08.88
3,9.15,1:17.96,2,9.45,1:17.66,4,19.15,1:42.90,1,8.60,1:17.48
2,9.57,1:27.523,0,,DQ,3,12.93,1:55.830,1,9.44,1:26.912
