KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME
1,13.03,13.03,3,13.37,13.37,4,13.46,13.46,2,13.22,13.22
1,10.08,23.11,3,10.17,23.54,4,10.18,23.64,2,10.14,23.36
2,9.99,33.11,3,9.64,33.19,4,9.66,33.31,1,9.69,33.06
3,9.76,42.87,2,9.59,42.78,4,9.64,42.95,1,9.70,42.76
1,9.63,52.50,4,9.79,52.58,3,9.59,52.55,2,9.75,52.51
3,9.07,1:01.57,2,8.99,1:01.57,1,8.96,1:01.51,4,9.21,1:01.73
4,9.40,1:10.97,2,9.11,1:10.68,1,9.10,1:10.62,3,9.13,1:10.86
4,9.23,1:20.20,1,9.00,1:19.68,2,9.07,1:19.70,3,9.11,1:19.98
4,9.52,1:29.714,2,9.54,1:29.215,1,9.49,1:29.186,3,9.62,1:29.600
