Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME,Mathias VOSTE POSITION,Mathias VOSTE LAP TIME,Mathias VOSTE ELAPSED TIME
1,6.92,6.92,2,7.04,7.04,3,7.11,7.11,4,7.17,7.17
1,9.08,16.00,2,9.07,16.11,4,9.45,16.56,3,9.08,16.25
1,8.53,24.53,2,8.48,24.59,4,9.08,25.64,3,8.50,24.75
2,8.69,33.22,1,8.62,33.21,4,9.39,35.03,3,8.76,33.51
2,8.94,42.159,1,8.80,42.009,4,9.81,44.837,3,9.30,42.805
