HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,KWAK Yoon-Gy POSITION,KWAK Yoon-Gy LAP TIME,KWAK Yoon-Gy ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Kiril PANDOV POSITION,Kiril PANDOV LAP TIME,Kiril PANDOV ELAPSED TIME
1,6.98,6.98,3,7.23,7.23,4,7.47,7.47,2,7.12,7.12
1,9.08,16.06,3,9.13,16.36,4,9.13,16.60,2,9.09,16.21
1,8.53,24.59,2,8.31,24.67,4,8.39,24.99,3,8.57,24.78
1,8.75,33.34,2,8.70,33.37,4,8.75,33.74,3,8.85,33.63
3,42.89,1:16.230,0,,DQ,1,9.06,42.792,2,9.18,42.809
