SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Marie-Eve DROLET POSITION,Marie-Eve DROLET LAP TIME,Marie-Eve DROLET ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
3,14.83,14.83,4,14.96,14.96,2,14.66,14.66,1,14.49,14.49
3,12.02,26.85,4,11.95,26.91,2,12.05,26.71,1,12.09,26.58
3,11.27,38.12,4,11.32,38.23,2,11.29,38.00,1,11.29,37.87
4,10.65,48.77,3,10.53,48.76,1,10.57,48.57,1,10.70,48.57
4,9.76,58.53,1,9.33,58.09,3,9.72,58.29,2,9.61,58.18
4,9.48,1:08.01,1,9.52,1:07.61,3,9.52,1:07.81,2,9.49,1:07.67
4,9.60,1:17.61,1,9.73,1:17.34,3,9.67,1:17.48,2,9.76,1:17.43
4,9.92,1:27.53,1,9.84,1:27.18,3,9.95,1:27.43,2,9.83,1:27.26
4,9.96,1:37.49,1,10.03,1:37.21,3,9.97,1:37.40,2,10.02,1:37.28
