ZANG Yize POSITION,ZANG Yize LAP TIME,ZANG Yize ELAPSED TIME,Jacqueline CHEN POSITION,Jacqueline CHEN LAP TIME,Jacqueline CHEN ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME
3,14.59,14.59,4,14.72,14.72,2,14.42,14.42,1,14.34,14.34
3,12.11,26.70,4,12.14,26.86,2,12.09,26.51,1,12.07,26.41
4,11.32,38.02,3,11.01,37.87,2,11.24,37.75,1,11.33,37.74
4,10.03,48.05,3,10.04,47.91,1,9.92,47.67,2,10.07,47.81
4,9.95,58.00,3,10.07,57.98,1,10.15,57.82,2,10.09,57.90
1,9.67,1:07.67,4,10.21,1:08.19,2,10.07,1:07.89,3,10.18,1:08.08
1,9.80,1:17.47,4,10.01,1:18.20,2,9.79,1:17.68,3,10.06,1:18.14
1,9.98,1:27.45,3,10.06,1:28.26,2,9.92,1:27.60,4,10.54,1:28.68
1,10.22,1:37.670,3,10.21,1:38.466,2,10.18,1:37.778,4,10.69,1:39.363
