Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,Niels KERSTHOLT POSITION,Niels KERSTHOLT LAP TIME,Niels KERSTHOLT ELAPSED TIME,Janis PIUSS POSITION,Janis PIUSS LAP TIME,Janis PIUSS ELAPSED TIME,Alexander SELEZNOV POSITION,Alexander SELEZNOV LAP TIME,Alexander SELEZNOV ELAPSED TIME,Viacheslav KURGINIAN POSITION,Viacheslav KURGINIAN LAP TIME,Viacheslav KURGINIAN ELAPSED TIME
3,12.83,12.83,1,12.60,12.60,2,12.81,12.81,5,13.33,13.33,4,12.98,12.98
3,9.81,22.64,2,10.00,22.60,4,9.96,22.78,5,9.95,23.28,1,9.53,22.51
2,9.38,32.03,1,9.42,32.03,4,9.42,32.20,5,9.52,32.81,3,9.56,32.07
2,9.61,41.65,1,9.56,41.59,4,9.62,41.83,5,9.68,42.49,3,9.61,41.69
4,10.00,51.65,1,9.53,51.13,3,9.70,51.53,5,9.86,52.35,2,9.57,51.27
3,9.21,1:00.87,1,9.55,1:00.68,4,10.11,1:01.64,5,10.12,1:02.48,2,9.49,1:00.76
1,9.39,1:10.26,2,9.74,1:10.43,4,10.39,1:12.04,5,10.75,1:13.23,3,9.82,1:10.58
2,9.87,1:20.14,1,9.52,1:19.95,4,10.61,1:22.65,5,11.07,1:24.31,3,9.71,1:20.29
3,10.10,1:30.234,1,9.76,1:29.706,4,11.25,1:33.893,5,11.50,1:35.805,2,9.94,1:30.227
