Luca LOEFFLER POSITION,Luca LOEFFLER LAP TIME,Luca LOEFFLER ELAPSED TIME,Clement FLORAC POSITION,Clement FLORAC LAP TIME,Clement FLORAC ELAPSED TIME,Marc-Olivier LEMAY POSITION,Marc-Olivier LEMAY LAP TIME,Marc-Olivier LEMAY ELAPSED TIME,Ashwin Calen DSILVA POSITION,Ashwin Calen DSILVA LAP TIME,Ashwin Calen DSILVA ELAPSED TIME,Tamas ANTAL POSITION,Tamas ANTAL LAP TIME,Tamas ANTAL ELAPSED TIME
2,7.06,7.06,3,7.32,7.32,1,7.05,7.05,5,7.90,7.90,4,7.47,7.47
2,9.23,16.29,3,9.10,16.42,1,9.09,16.14,5,10.10,18.00,4,9.17,16.64
3,8.64,24.93,2,8.47,24.89,1,8.59,24.73,5,9.79,27.79,4,8.72,25.36
3,8.95,33.88,2,8.70,33.59,1,8.69,33.42,5,10.03,37.82,4,8.86,34.22
3,9.10,42.98,2,8.98,42.57,1,8.90,42.32,5,10.35,48.161,4,8.92,43.14
