ZHOU Yang POSITION,ZHOU Yang LAP TIME,ZHOU Yang ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,TALAYEVA Volha POSITION,TALAYEVA Volha LAP TIME,TALAYEVA Volha ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME
2,9.40,9.40,6,9.64,9.64,3,9.42,9.42,4,9.48,9.48,1,9.24,9.24,5,9.48,9.48
5,12.05,21.45,6,11.96,21.60,2,11.76,21.18,4,11.93,21.41,3,12.09,21.33,1,11.55,21.03
5,10.97,32.42,6,10.95,32.55,3,10.96,32.14,2,10.67,32.08,4,10.97,32.30,1,10.97,32.00
5,10.72,43.14,6,10.71,43.26,3,10.75,42.89,2,10.69,42.77,4,10.72,43.02,1,10.70,42.70
4,10.92,54.06,6,10.94,54.20,3,11.10,53.99,2,11.13,53.90,5,11.05,54.07,1,11.09,53.79
1,9.98,1:04.04,6,10.44,1:04.64,4,10.39,1:04.38,3,10.39,1:04.29,5,10.46,1:04.53,2,10.37,1:04.16
1,10.42,1:14.46,6,10.24,1:14.88,4,10.32,1:14.70,3,10.37,1:14.66,5,10.22,1:14.75,2,10.39,1:14.55
1,10.10,1:24.56,2,9.87,1:24.75,5,34.26,1:48.96,3,10.62,1:25.28,4,24.65,1:39.40,6,52.08,2:06.63
1,10.42,1:34.98,2,10.36,1:35.11,5,14.83,2:03.79,3,11.32,1:36.60,4,16.20,1:55.60,6,18.90,2:25.53
1,10.77,1:45.75,2,10.84,1:45.95,5,13.56,2:17.35,3,11.91,1:48.51,4,11.70,2:07.30,6,13.92,2:39.45
1,10.34,1:56.09,2,10.30,1:56.25,5,12.32,2:29.67,3,12.10,2:00.61,4,11.02,2:18.32,6,12.92,2:52.37
1,10.02,2:06.11,2,10.00,2:06.25,5,12.05,2:41.72,3,12.21,2:12.82,4,11.33,2:29.65,6,12.87,3:05.24
1,9.94,2:16.05,2,9.97,2:16.22,5,12.37,2:54.09,3,12.41,2:25.23,4,11.36,2:41.01,6,14.35,3:19.59
1,9.93,2:25.978,2,9.99,2:26.208,4,12.82,3:06.908,0,,PEN,3,13.02,2:54.025,5,1:340.40,9:59.990
