HWANG Dae Heon POSITION,HWANG Dae Heon LAP TIME,HWANG Dae Heon ELAPSED TIME,ANDERMANN Nico POSITION,ANDERMANN Nico LAP TIME,ANDERMANN Nico ELAPSED TIME,EYBOG Daniil POSITION,EYBOG Daniil LAP TIME,EYBOG Daniil ELAPSED TIME,Jack BURROWS POSITION,Jack BURROWS LAP TIME,Jack BURROWS ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME,Patrik VELICKO POSITION,Patrik VELICKO LAP TIME,Patrik VELICKO ELAPSED TIME,GIORDANO Marco POSITION,GIORDANO Marco LAP TIME,GIORDANO Marco ELAPSED TIME
4,9.07,9.07,3,8.86,8.86,7,9.55,9.55,2,8.67,8.67,1,8.34,8.34,6,9.21,,5,9.15,9.15
4,10.73,19.80,3,10.74,19.60,7,10.72,20.27,2,10.78,19.45,1,10.97,19.31,6,10.86,,5,10.75,19.90
4,10.42,30.22,3,10.39,29.99,7,10.36,30.63,2,10.40,29.85,1,10.40,29.71,6,10.37,,5,10.41,30.31
5,10.18,40.40,3,10.11,40.10,7,10.13,40.76,2,10.16,40.01,1,10.18,39.89,6,10.25,,4,9.92,40.23
5,10.28,50.68,3,10.25,50.35,6,10.04,50.80,2,10.12,50.13,1,10.22,50.11,7,10.32,,4,10.20,50.43
5,10.18,1:00.86,3,10.17,1:00.52,6,10.17,1:00.97,1,10.10,1:00.23,2,10.26,1:00.37,7,10.53,,4,10.20,1:00.63
5,10.40,1:11.26,3,10.40,1:10.92,6,10.41,1:11.38,1,10.44,1:10.67,2,10.41,1:10.78,7,10.87,,4,10.39,1:11.02
5,10.48,1:21.74,4,10.60,1:21.52,6,10.50,1:21.88,1,10.51,1:21.18,3,10.52,1:21.30,7,11.54,,2,10.27,1:21.29
5,10.58,1:32.32,4,10.67,1:32.19,6,10.57,1:32.45,1,10.47,1:31.65,3,10.73,1:32.03,7,12.59,,2,10.41,1:31.70
2,9.78,1:42.10,5,10.78,1:42.97,4,9.95,1:42.40,3,10.47,1:42.12,6,11.34,1:43.37,7,13.54,,1,9.68,1:41.38
2,9.02,1:51.12,5,10.85,1:53.82,3,9.41,1:51.81,4,10.87,1:52.99,6,12.27,1:55.64,7,15.60,,1,9.54,1:50.92
2,9.38,2:00.50,4,10.80,2:04.62,3,9.23,2:01.04,5,11.64,2:04.63,6,12.87,2:08.51,7,13.75,,1,9.51,2:00.43
1,9.34,2:09.84,4,10.90,2:15.52,3,9.27,2:10.31,5,12.02,2:16.65,6,13.25,2:21.76,7,14.48,,2,9.72,2:10.15
1,9.65,2:19.49,4,11.16,2:26.68,2,9.50,2:19.81,5,12.97,2:29.62,6,12.95,2:34.71,7,16.57,2:50.48,3,9.83,2:19.98
