Dariusz KULESZA POSITION,Dariusz KULESZA LAP TIME,Dariusz KULESZA ELAPSED TIME,LEE Seung-Jae POSITION,LEE Seung-Jae LAP TIME,LEE Seung-Jae ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,MO Ming-Jui POSITION,MO Ming-Jui LAP TIME,MO Ming-Jui ELAPSED TIME
3,8.804,8.804,4,8.919,8.919,1,8.584,8.584,2,8.652,8.652,6,9.158,9.158,5,9.072,9.072
3,12.444,21.248,4,12.460,21.379,1,12.428,21.011,2,12.504,21.155,6,12.445,21.602,5,12.506,21.577
3,12.642,33.889,4,12.658,34.037,1,12.667,33.677,2,12.560,33.715,5,12.616,34.218,6,12.680,34.256
3,12.484,46.373,4,12.391,46.428,1,12.492,46.169,2,12.544,46.258,5,12.432,46.649,6,12.493,46.749
3,11.627,58.000,4,11.689,58.116,1,11.684,57.852,2,11.646,57.903,5,11.577,58.226,6,11.507,58.255
3,11.071,1:09.070,4,10.969,1:09.085,1,11.021,1:08.873,2,11.045,1:08.948,5,10.941,1:09.166,6,11.137,1:09.392
5,10.461,1:19.531,4,10.320,1:19.405,1,10.119,1:18.991,3,10.281,1:19.229,2,9.920,1:19.085,6,10.392,1:19.784
5,9.818,1:29.349,4,9.717,1:29.121,2,9.858,1:28.849,3,9.880,1:29.109,1,9.659,1:28.744,6,10.464,1:30.248
5,9.748,1:39.096,1,9.394,1:38.514,4,10.116,1:38.965,3,9.804,1:38.912,2,9.945,1:38.689,6,10.812,1:41.060
3,9.625,1:48.721,1,9.475,1:47.988,4,9.808,1:48.773,2,9.700,1:48.611,6,26.798,2:05.487,5,11.382,1:52.441
5,18.405,2:07.125,1,9.625,1:57.613,3,9.838,1:58.611,2,9.974,1:58.585,6,14.404,2:19.891,4,11.691,2:04.132
5,20.591,2:27.716,1,9.874,2:07.486,2,10.405,2:09.015,3,10.437,2:09.021,6,12.297,2:32.187,4,12.194,2:16.326
6,16.976,2:44.692,1,10.337,2:17.822,2,10.592,2:19.607,3,10.977,2:19.998,5,11.838,2:44.025,4,13.436,2:29.762
3,15.53,3:00.216,1,12.37,2:30.191,0,,DQ,0,,DQ,4,18.96,3:02.979,2,12.64,2:42.397
