Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,Lana GEHRING POSITION,Lana GEHRING LAP TIME,Lana GEHRING ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,LI Jianrou POSITION,LI Jianrou LAP TIME,LI Jianrou ELAPSED TIME
1,13.24,13.24,2,13.40,13.40,3,13.51,13.51,4,13.63,13.63
1,10.36,23.60,2,10.31,23.71,3,10.28,23.79,4,10.31,23.94
1,10.27,33.87,2,10.27,33.98,3,10.33,34.12,4,10.25,34.19
2,10.10,43.97,1,9.90,43.88,3,9.97,44.09,4,10.00,44.19
1,9.47,53.44,2,9.67,53.55,3,9.59,53.68,4,9.57,53.76
1,9.62,1:03.06,2,9.60,1:03.15,3,9.58,1:03.26,4,9.59,1:03.35
1,9.66,1:12.72,2,9.68,1:12.83,4,9.79,1:13.05,3,9.56,1:12.91
1,9.70,1:22.42,3,9.76,1:22.59,4,9.74,1:22.79,2,9.61,1:22.52
1,9.73,1:32.149,3,9.90,1:32.490,4,9.82,1:32.604,2,9.72,1:32.231
