DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,Robert SEIFERT POSITION,Robert SEIFERT LAP TIME,Robert SEIFERT ELAPSED TIME,Sebastian KLOSINSKI POSITION,Sebastian KLOSINSKI LAP TIME,Sebastian KLOSINSKI ELAPSED TIME,Serdar ILTIR POSITION,Serdar ILTIR LAP TIME,Serdar ILTIR ELAPSED TIME
1,16.85,16.85,4,17.17,17.17,2,16.88,16.88,3,16.97,16.97
1,12.61,29.46,3,12.57,29.74,2,12.70,29.58,4,12.84,29.81
1,11.90,41.36,3,11.88,41.62,2,11.92,41.50,4,11.91,41.72
1,11.01,52.37,3,11.07,52.69,2,11.00,52.50,4,11.07,52.79
1,10.12,1:02.49,3,10.08,1:02.77,2,9.99,1:02.49,4,10.15,1:02.94
2,9.29,1:11.78,3,9.23,1:12.00,1,9.12,1:11.61,4,9.54,1:12.48
2,9.07,1:20.85,3,9.01,1:21.01,1,9.18,1:20.79,4,9.87,1:22.35
1,9.07,1:29.92,3,9.07,1:30.08,2,9.28,1:30.07,4,10.33,1:32.68
1,9.47,1:39.382,2,9.40,1:39.480,3,9.61,1:39.671,4,10.59,1:43.261
