Francesca JACKSON POSITION,Francesca JACKSON LAP TIME,Francesca JACKSON ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,LEE Eun Byul POSITION,LEE Eun Byul LAP TIME,LEE Eun Byul ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME,Hiroko SADAKANE POSITION,Hiroko SADAKANE LAP TIME,Hiroko SADAKANE ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
5,9.57,9.57,4,9.45,9.45,6,9.80,9.80,1,9.32,9.32,3,9.44,9.44,2,9.33,9.33
5,12.92,22.49,4,12.95,22.40,6,12.84,22.64,2,12.84,22.16,3,12.86,22.30,1,12.74,22.07
5,13.05,35.54,4,13.05,35.45,6,13.10,35.74,2,13.03,35.19,3,13.04,35.34,1,12.99,35.06
5,13.20,48.74,4,13.16,48.61,6,13.18,48.92,2,13.22,48.41,3,13.17,48.51,1,13.22,48.28
5,12.83,1:01.57,4,12.81,1:01.42,6,12.79,1:01.71,2,12.73,1:01.14,3,12.76,1:01.27,1,12.73,1:01.01
5,11.56,1:13.13,4,11.63,1:13.05,6,11.57,1:13.28,2,11.71,1:12.85,3,11.68,1:12.95,1,11.71,1:12.72
5,10.96,1:24.09,4,10.87,1:23.92,6,10.93,1:24.21,2,10.87,1:23.72,3,10.86,1:23.81,1,10.88,1:23.60
5,10.51,1:34.60,4,10.55,1:34.47,6,10.51,1:34.72,2,10.54,1:34.26,3,10.56,1:34.37,1,10.55,1:34.15
6,10.59,1:45.19,4,10.52,1:44.99,5,10.46,1:45.18,2,10.52,1:44.78,3,10.51,1:44.88,1,10.49,1:44.64
6,10.73,1:55.92,2,10.22,1:55.21,5,10.27,1:55.45,3,10.46,1:55.24,4,10.41,1:55.29,1,10.49,1:55.13
6,11.25,2:07.17,2,10.05,2:05.26,5,10.11,2:05.56,3,10.15,2:05.39,4,10.18,2:05.47,1,10.01,2:05.14
6,11.55,2:18.72,2,9.89,2:15.15,3,9.73,2:15.29,4,9.92,2:15.31,5,9.92,2:15.39,1,9.94,2:15.08
6,12.12,2:30.84,3,10.01,2:25.16,1,9.57,2:24.86,5,10.12,2:25.43,4,9.82,2:25.21,2,10.02,2:25.10
6,12.65,2:43.487,3,10.04,2:35.198,1,9.63,2:34.487,5,10.67,2:36.098,4,10.03,2:35.233,2,9.99,2:35.084
