Sebastian CANO POSITION,Sebastian CANO LAP TIME,Sebastian CANO ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,Adwin SNELLINK POSITION,Adwin SNELLINK LAP TIME,Adwin SNELLINK ELAPSED TIME
4,9.79,,7,10.01,10.01,5,9.91,9.91,3,9.66,,2,9.60,9.60,6,9.98,9.98,1,9.41,9.41
4,11.73,,6,11.79,21.80,5,11.74,21.65,3,11.70,,1,11.69,21.29,7,11.86,21.84,2,11.92,21.33
4,10.90,,6,10.81,32.61,5,10.87,32.52,1,10.76,,2,10.94,32.23,7,10.82,32.66,3,10.99,32.32
5,10.57,,4,10.37,42.98,6,10.69,43.21,2,10.70,,1,10.49,42.72,7,10.71,43.37,3,10.57,42.89
4,10.58,,5,10.70,53.68,7,10.54,53.75,3,10.69,,1,10.63,53.35,6,10.33,53.70,2,10.48,53.37
4,10.60,,6,12.00,1:05.68,5,10.53,1:04.28,3,10.36,,1,10.43,1:03.78,7,18.92,1:12.62,2,10.48,1:03.85
5,10.20,,7,30.74,1:36.42,4,9.96,1:14.24,2,10.22,,1,10.21,1:13.99,6,22.28,1:34.90,3,10.25,1:14.10
5,9.97,,7,17.81,1:54.23,4,9.87,1:24.11,3,9.91,,1,9.78,1:23.77,6,13.81,1:48.71,2,9.76,1:23.86
5,9.52,,7,15.48,2:09.71,4,9.48,1:33.59,2,9.43,,1,9.57,1:33.34,6,13.89,2:02.60,3,9.60,1:33.46
5,9.49,,7,14.76,2:24.47,4,9.44,1:43.03,2,9.35,,1,9.35,1:42.69,6,12.05,2:14.65,3,9.42,1:42.88
5,10.10,,7,14.73,2:39.20,4,9.24,1:52.27,2,9.27,,1,9.26,1:51.95,6,11.46,2:26.11,3,9.27,1:52.15
5,10.80,,7,12.94,2:52.14,4,9.00,2:01.27,3,9.21,,1,9.01,2:00.96,6,11.80,2:37.91,2,9.01,2:01.16
5,11.36,,7,11.60,3:03.74,3,9.45,2:10.72,4,10.22,,1,8.94,2:09.90,6,11.97,2:49.88,2,9.01,2:10.17
5,11.71,,7,10.67,3:14.41,3,9.33,2:20.05,4,10.44,,1,9.12,2:19.02,6,11.81,3:01.69,2,9.10,2:19.27
