Anastassiya KRESTOVA POSITION,Anastassiya KRESTOVA LAP TIME,Anastassiya KRESTOVA ELAPSED TIME,AHN Se Jung POSITION,AHN Se Jung LAP TIME,AHN Se Jung ELAPSED TIME,Renata SZOCS POSITION,Renata SZOCS LAP TIME,Renata SZOCS ELAPSED TIME,Katarina JANKOVIC POSITION,Katarina JANKOVIC LAP TIME,Katarina JANKOVIC ELAPSED TIME
2,13.98,13.98,4,14.56,14.56,3,14.36,14.36,1,13.97,13.97
2,11.18,25.16,1,10.52,25.08,3,10.93,25.29,4,13.24,27.21
2,10.88,36.04,1,10.77,35.85,3,10.85,36.14,4,11.73,38.94
1,10.26,46.30,3,10.90,46.75,2,10.48,46.62,4,11.65,50.59
1,9.34,55.64,2,9.70,56.45,3,10.05,56.67,4,12.68,1:03.27
1,10.28,1:05.92,2,9.54,1:05.99,3,9.99,1:06.66,4,14.01,1:17.28
2,10.52,1:16.44,1,9.90,1:15.89,3,10.52,1:17.18,4,13.29,1:30.57
2,21.23,1:37.67,1,10.41,1:26.30,3,27.26,1:44.44,4,13.96,1:44.53
0,,PEN,1,11.17,1:37.469,2,16.73,2:01.166,3,20.36,2:04.882
