Katherine REUTTER-ADAMEK POSITION,Katherine REUTTER-ADAMEK LAP TIME,Katherine REUTTER-ADAMEK ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME
2,12.78,12.78,3,12.84,12.84,1,12.66,12.66,4,12.87,12.87
2,10.07,22.85,1,9.89,22.74,4,10.23,22.90,3,10.00,22.88
3,9.37,32.23,4,9.55,32.29,1,9.08,31.98,2,9.31,32.19
1,9.42,41.65,4,9.58,41.88,2,9.84,41.83,3,9.65,41.85
2,10.02,51.68,3,10.02,51.91,1,9.59,51.42,4,10.06,51.91
2,9.90,1:01.58,3,9.93,1:01.85,1,10.10,1:01.53,4,10.01,1:01.92
2,9.89,1:11.48,4,9.87,1:11.72,1,9.58,1:11.11,3,9.79,1:11.71
2,9.94,1:21.42,3,9.99,1:21.71,1,10.19,1:21.31,4,10.08,1:21.79
1,10.00,1:31.414,3,9.91,1:31.612,2,10.20,1:31.501,4,9.93,1:31.720
