Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,CHRISTIE Elise POSITION,CHRISTIE Elise LAP TIME,CHRISTIE Elise ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME,Inna SIMONOVA POSITION,Inna SIMONOVA LAP TIME,Inna SIMONOVA ELAPSED TIME,Ayuko ITO POSITION,Ayuko ITO LAP TIME,Ayuko ITO ELAPSED TIME,Olga BELYAKOVA POSITION,Olga BELYAKOVA LAP TIME,Olga BELYAKOVA ELAPSED TIME
3,9.74,9.74,5,9.90,9.90,4,9.78,9.78,2,9.73,9.73,1,9.68,9.68,6,10.11,10.11
1,13.42,23.16,4,13.49,23.39,2,13.51,23.29,3,13.57,23.30,5,13.79,23.47,6,13.53,23.64
3,12.42,35.58,5,12.32,35.71,1,12.14,35.43,2,12.20,35.50,4,12.14,35.61,6,12.29,35.93
5,11.94,47.52,4,11.72,47.43,1,11.84,47.27,3,11.89,47.39,2,11.68,47.29,6,11.75,47.68
5,11.11,58.63,2,11.04,58.47,3,11.29,58.56,4,11.21,58.60,1,11.17,58.46,6,11.16,58.84
5,11.15,1:09.78,3,11.06,1:09.53,4,11.12,1:09.68,2,10.78,1:09.38,1,10.80,1:09.26,6,11.06,1:09.90
6,11.20,1:20.98,4,11.30,1:20.83,3,11.10,1:20.78,2,11.32,1:20.70,1,11.34,1:20.60,5,11.05,1:20.95
6,10.50,1:31.48,4,10.38,1:31.21,2,10.13,1:30.91,3,10.34,1:31.04,1,10.21,1:30.81,5,10.41,1:31.36
6,10.15,1:41.63,4,10.22,1:41.43,2,10.30,1:41.21,3,10.27,1:41.31,1,10.29,1:41.10,5,10.17,1:41.53
6,10.32,1:51.95,4,10.30,1:51.73,2,10.29,1:51.50,3,10.30,1:51.61,1,10.27,1:51.37,5,10.32,1:51.85
6,9.87,2:01.82,4,9.80,2:01.53,2,9.84,2:01.34,3,9.84,2:01.45,1,9.93,2:01.30,5,9.80,2:01.65
6,9.60,2:11.42,2,9.32,2:10.85,1,9.31,2:10.65,5,9.63,2:11.08,3,9.57,2:10.87,4,9.40,2:11.05
6,9.96,2:21.38,2,9.35,2:20.20,1,9.42,2:20.07,5,9.54,2:20.62,3,9.50,2:20.37,4,9.34,2:20.39
5,10.41,2:31.788,0,,DNF,1,9.58,2:29.645,4,9.88,2:30.499,3,9.99,2:30.354,2,9.49,2:29.880
