Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,WANG Xue POSITION,WANG Xue LAP TIME,WANG Xue ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Lois KLOOR POSITION,Lois KLOOR LAP TIME,Lois KLOOR ELAPSED TIME,Lenka ZAHUMENSKA POSITION,Lenka ZAHUMENSKA LAP TIME,Lenka ZAHUMENSKA ELAPSED TIME
5,9.79,9.79,2,9.49,9.49,1,9.39,9.39,4,9.62,9.62,6,9.79,9.79,3,9.60,9.60
6,13.21,23.00,4,13.16,22.65,1,13.18,22.57,5,13.19,22.81,2,12.78,22.57,3,13.03,22.63
6,12.49,35.49,4,12.53,35.18,2,12.53,35.10,5,12.51,35.32,1,12.43,35.00,3,12.47,35.10
6,12.59,48.08,4,12.56,47.74,3,12.55,47.65,5,12.61,47.93,1,12.41,47.41,2,12.41,47.51
5,11.92,1:00.00,3,12.11,59.85,4,12.21,59.86,6,12.08,1:00.01,2,12.34,59.75,1,12.19,59.70
6,10.85,1:10.85,2,10.57,1:10.42,3,10.68,1:10.54,5,10.71,1:10.72,4,10.81,1:10.56,1,10.63,1:10.33
6,10.58,1:21.43,2,10.57,1:20.99,3,10.57,1:21.11,4,10.51,1:21.23,5,10.78,1:21.34,1,10.58,1:20.91
6,10.73,1:32.16,3,10.76,1:31.75,2,10.60,1:31.71,4,10.61,1:31.84,5,10.73,1:32.07,1,10.77,1:31.68
4,9.99,1:42.15,3,10.20,1:41.95,1,9.80,1:41.51,2,9.77,1:41.61,6,10.34,1:42.41,5,10.50,1:42.18
4,9.81,1:51.96,3,9.89,1:51.84,1,10.08,1:51.59,2,10.08,1:51.69,6,10.43,1:52.84,5,10.35,1:52.53
4,10.15,2:02.11,3,10.18,2:02.02,1,10.11,2:01.70,2,10.18,2:01.87,6,10.57,2:03.41,5,10.77,2:03.30
4,10.02,2:12.13,3,10.08,2:12.10,2,10.14,2:11.84,1,9.95,2:11.82,6,11.01,2:14.42,5,10.81,2:14.11
3,9.67,2:21.80,4,10.36,2:22.46,2,9.82,2:21.66,1,9.22,2:21.04,6,11.83,2:26.25,5,10.99,2:25.10
3,9.84,2:31.633,4,10.73,2:33.184,2,9.97,2:31.621,1,9.26,2:30.298,6,12.57,2:38.818,5,11.29,2:36.381
