Timothy DEWISPELAERE POSITION,Timothy DEWISPELAERE LAP TIME,Timothy DEWISPELAERE ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME,Thomas PEARCE POSITION,Thomas PEARCE LAP TIME,Thomas PEARCE ELAPSED TIME,SAULITIS Jekabs POSITION,SAULITIS Jekabs LAP TIME,SAULITIS Jekabs ELAPSED TIME
1,12.33,12.33,4,13.10,13.10,5,13.16,13.16,3,13.00,13.00,2,12.58,12.58
2,9.84,22.17,5,9.95,23.05,4,9.49,22.66,3,9.38,22.38,1,9.51,22.10
2,10.22,32.40,4,10.82,33.88,3,9.87,32.54,5,20.39,42.78,1,10.10,32.20
2,10.02,42.43,4,10.10,43.98,3,10.05,42.60,5,10.54,53.32,1,10.04,42.25
2,9.76,52.19,4,10.74,54.72,3,9.72,52.32,5,10.17,1:03.50,1,9.74,51.99
2,9.62,1:01.81,4,10.61,1:05.33,3,9.65,1:01.97,5,10.39,1:13.89,1,9.56,1:01.56
3,9.63,1:11.44,4,10.98,1:16.32,2,9.22,1:11.19,5,10.28,1:24.17,1,9.47,1:11.03
3,9.64,1:21.09,4,11.64,1:27.97,2,9.51,1:20.71,5,10.48,1:34.66,1,9.63,1:20.66
3,9.94,1:31.028,4,12.27,1:40.231,1,9.43,1:30.137,5,10.79,1:45.441,2,9.70,1:30.360
