Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Roberts ZVEJNIEKS POSITION,Roberts ZVEJNIEKS LAP TIME,Roberts ZVEJNIEKS ELAPSED TIME
2,13.77,13.77,1,13.63,13.63,3,13.87,13.87,4,13.98,13.98
3,10.57,24.34,1,10.61,24.24,2,10.45,24.32,4,10.52,24.50
3,10.35,34.69,1,10.20,34.44,2,10.26,34.58,4,10.31,34.81
3,9.88,44.57,1,9.93,44.37,2,9.88,44.46,4,9.87,44.68
3,9.50,54.07,2,9.59,53.96,1,9.39,53.85,4,9.51,54.19
3,9.15,1:03.22,2,9.15,1:03.11,1,9.14,1:02.99,4,9.33,1:03.52
3,8.95,1:12.17,2,8.93,1:12.04,1,8.95,1:11.94,4,9.50,1:13.02
3,9.05,1:21.22,2,9.04,1:21.08,1,9.05,1:20.99,4,9.85,1:22.87
3,9.22,1:30.437,2,9.20,1:30.274,1,9.13,1:30.120,4,10.17,1:33.036
