LEE June Seo POSITION,LEE June Seo LAP TIME,LEE June Seo ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,TRAN Aaron POSITION,TRAN Aaron LAP TIME,TRAN Aaron ELAPSED TIME,KRUZBERGS Roberts POSITION,KRUZBERGS Roberts LAP TIME,KRUZBERGS Roberts ELAPSED TIME,Firat YARDIMCI POSITION,Firat YARDIMCI LAP TIME,Firat YARDIMCI ELAPSED TIME
2,12.90,12.90,1,12.84,12.84,3,13.02,13.02,5,13.19,13.19,4,13.04,13.04
3,10.20,23.10,1,10.14,22.98,2,9.99,23.01,5,10.13,23.32,4,10.20,23.24
3,10.01,33.11,1,9.97,32.95,2,9.96,32.97,5,10.01,33.33,4,9.99,33.23
4,9.79,42.90,1,9.77,42.72,1,9.75,42.72,5,9.72,43.05,3,9.65,42.88
4,9.46,52.36,1,9.37,52.09,2,9.47,52.19,5,9.41,52.46,3,9.32,52.20
4,9.27,1:01.63,1,9.32,1:01.41,3,9.36,1:01.55,5,9.27,1:01.73,2,9.29,1:01.49
4,9.15,1:10.78,1,9.17,1:10.58,3,9.21,1:10.76,5,9.19,1:10.92,2,9.24,1:10.73
1,8.87,1:19.65,2,9.14,1:19.72,4,9.19,1:19.95,5,9.07,1:19.99,3,9.16,1:19.89
1,8.96,1:28.61,2,9.17,1:28.89,4,9.32,1:29.27,3,8.98,1:28.97,5,9.41,1:29.30
