Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME,Marianne ST-GELAIS POSITION,Marianne ST-GELAIS LAP TIME,Marianne ST-GELAIS ELAPSED TIME,WANG Meng POSITION,WANG Meng LAP TIME,WANG Meng ELAPSED TIME
1,13.50,13.50,2,13.63,13.63,3,13.78,13.78,4,13.91,13.91
1,11.52,25.02,2,11.50,25.13,3,11.45,25.23,4,11.43,25.34
2,11.02,36.04,1,10.75,35.88,3,10.96,36.19,4,11.00,36.34
3,10.09,46.13,1,10.17,46.05,2,9.93,46.12,4,10.04,46.38
3,9.77,55.90,2,9.78,55.83,1,9.62,55.74,4,9.65,56.03
2,10.06,1:05.96,4,10.34,1:06.17,1,9.93,1:05.67,3,9.95,1:05.98
3,9.77,1:15.73,4,9.72,1:15.89,1,9.87,1:15.54,2,9.61,1:15.59
4,9.74,1:25.47,3,9.54,1:25.43,2,9.71,1:25.25,1,9.36,1:24.95
4,10.04,1:35.510,3,9.75,1:35.181,2,9.47,1:34.720,1,9.61,1:34.553
