Tatiana BODOVA POSITION,Tatiana BODOVA LAP TIME,Tatiana BODOVA ELAPSED TIME,CHOI Jung-Won POSITION,CHOI Jung-Won LAP TIME,CHOI Jung-Won ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Alyson DUDEK POSITION,Alyson DUDEK LAP TIME,Alyson DUDEK ELAPSED TIME
2,13.22,13.22,4,13.49,13.49,1,13.11,13.11,3,13.37,13.37
3,10.35,23.57,4,10.22,23.71,1,10.27,23.38,2,10.09,23.46
3,9.75,33.32,4,9.69,33.40,1,9.74,33.12,2,9.76,33.22
3,10.00,43.32,4,10.06,43.46,1,9.98,43.10,2,10.01,43.23
3,10.06,53.38,4,10.04,53.50,1,10.07,53.17,2,10.05,53.28
3,9.94,1:03.32,4,9.92,1:03.42,1,9.93,1:03.10,2,9.92,1:03.20
3,9.94,1:13.26,4,9.91,1:13.33,1,9.99,1:13.09,2,9.96,1:13.16
4,10.20,1:23.46,3,9.98,1:23.31,1,10.03,1:23.12,2,10.08,1:23.24
4,10.41,1:33.867,2,10.04,1:33.347,1,10.18,1:33.292,3,10.19,1:33.430
