Alica PORUBSKA POSITION,Alica PORUBSKA LAP TIME,Alica PORUBSKA ELAPSED TIME,Oliwia GAWLICA POSITION,Oliwia GAWLICA LAP TIME,Oliwia GAWLICA ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,HUOT MARCHAND Tifany POSITION,HUOT MARCHAND Tifany LAP TIME,HUOT MARCHAND Tifany ELAPSED TIME
1,10.89,10.89,2,11.03,11.03,3,11.26,11.26,5,11.60,11.60,4,11.41,11.41,6,11.75,11.75
1,15.67,26.56,2,15.64,26.67,3,15.53,26.79,5,15.45,27.05,4,15.50,26.91,6,15.44,27.19
1,14.91,41.47,2,14.93,41.60,3,15.02,41.81,5,15.01,42.06,4,14.99,41.90,6,14.98,42.17
1,14.29,55.76,2,14.26,55.86,3,14.17,55.98,5,14.23,56.29,4,14.20,56.10,6,14.27,56.44
1,13.49,1:09.25,3,13.66,1:09.52,2,13.43,1:09.41,5,13.49,1:09.78,4,13.55,1:09.65,6,13.46,1:09.90
2,12.41,1:21.66,4,12.27,1:21.79,1,12.20,1:21.61,3,11.89,1:21.67,6,12.27,1:21.92,5,11.92,1:21.82
4,10.17,1:31.83,5,10.15,1:31.94,3,10.06,1:31.67,1,9.90,1:31.57,6,10.13,1:32.05,2,9.80,1:31.62
4,9.70,1:41.53,5,9.70,1:41.64,3,9.74,1:41.41,2,9.75,1:41.32,6,9.66,1:41.71,1,9.59,1:41.21
4,9.87,1:51.40,5,9.85,1:51.49,3,9.86,1:51.27,2,9.93,1:51.25,6,9.96,1:51.67,1,9.95,1:51.16
4,9.85,2:01.25,5,9.87,2:01.36,3,9.87,2:01.14,2,9.78,2:01.03,6,9.78,2:01.45,1,9.86,2:01.02
4,9.83,2:11.08,5,9.84,2:11.20,3,9.85,2:10.99,1,9.63,2:10.66,6,9.87,2:11.32,2,9.87,2:10.89
3,9.86,2:20.94,5,9.87,2:21.07,2,9.76,2:20.75,1,9.79,2:20.45,6,9.93,2:21.25,4,10.09,2:20.98
3,10.02,2:30.96,4,10.03,2:31.10,1,9.78,2:30.53,2,10.10,2:30.55,6,10.18,2:31.43,5,10.37,2:31.35
3,10.33,2:41.274,4,10.24,2:41.318,1,10.06,2:40.575,2,10.40,2:40.931,6,10.80,2:42.211,5,10.83,2:42.132
