AYRAPETYAN Denis POSITION,AYRAPETYAN Denis LAP TIME,AYRAPETYAN Denis ELAPSED TIME,ADAMSKI Pawel POSITION,ADAMSKI Pawel LAP TIME,ADAMSKI Pawel ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Yauheni RYZHOU POSITION,Yauheni RYZHOU LAP TIME,Yauheni RYZHOU ELAPSED TIME
1,13.76,13.76,2,13.85,13.85,3,13.90,13.90,4,14.11,14.11
2,10.53,24.29,1,10.38,24.23,3,10.48,24.38,4,10.38,24.49
3,10.40,34.69,1,10.37,34.60,2,10.23,34.61,4,10.37,34.86
3,9.42,44.11,2,9.50,44.10,1,9.43,44.04,4,9.42,44.28
1,9.07,53.18,3,9.39,53.49,2,9.32,53.36,4,9.32,53.60
1,9.08,1:02.26,4,9.06,1:02.55,2,8.99,1:02.35,3,8.91,1:02.51
1,8.95,1:11.21,4,9.13,1:11.68,2,8.98,1:11.33,3,8.99,1:11.50
1,8.92,1:20.13,4,9.22,1:20.90,2,8.94,1:20.27,3,8.96,1:20.46
1,9.05,1:29.18,4,9.65,1:30.55,2,9.16,1:29.43,3,9.02,1:29.48
