PARK Se Yeong POSITION,PARK Se Yeong LAP TIME,PARK Se Yeong ELAPSED TIME,Artem KOZLOV POSITION,Artem KOZLOV LAP TIME,Artem KOZLOV ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
1,6.82,6.82,2,6.95,6.95,4,7.86,7.86,5,7.93,7.93,3,7.22,7.22
1,8.93,15.75,2,8.95,15.90,5,10.19,18.05,4,9.75,17.68,3,8.91,16.13
1,8.46,24.21,2,8.40,24.30,5,9.75,27.80,4,9.01,26.69,3,8.31,24.44
5,19.88,44.09,2,8.89,33.19,4,10.14,37.94,3,8.97,35.66,1,8.34,32.78
5,23.40,1:07.482,2,9.75,42.937,4,10.83,48.768,3,9.37,45.028,1,8.80,41.572
