Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Tomas GIACOMELLI POSITION,Tomas GIACOMELLI LAP TIME,Tomas GIACOMELLI ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,Inan EREN POSITION,Inan EREN LAP TIME,Inan EREN ELAPSED TIME
2,9.83,9.83,3,9.83,9.83,1,9.71,9.71,4,9.94,9.94,5,10.08,10.08
1,15.61,25.44,3,15.95,25.78,2,15.90,25.61,4,15.93,25.87,5,15.82,25.90
3,13.15,38.59,5,13.04,38.82,4,13.10,38.71,2,12.47,38.34,1,12.30,38.20
3,11.67,50.26,5,11.65,50.47,4,11.65,50.36,2,11.78,50.12,1,11.84,50.04
4,11.82,1:02.08,5,11.73,1:02.20,1,11.36,1:01.72,3,11.81,1:01.93,2,11.77,1:01.81
5,11.13,1:13.21,4,10.87,1:13.07,1,11.16,1:12.88,3,11.12,1:13.05,2,11.07,1:12.88
5,10.35,1:23.56,1,10.06,1:23.13,2,10.38,1:23.26,4,10.35,1:23.40,3,10.44,1:23.32
4,10.04,1:33.60,2,10.22,1:33.35,3,10.24,1:33.50,1,9.87,1:33.27,5,10.37,1:33.69
4,9.75,1:43.35,2,9.78,1:43.13,3,9.71,1:43.21,1,9.81,1:43.08,5,10.16,1:43.85
4,10.05,1:53.40,2,10.06,1:53.19,3,10.06,1:53.27,1,10.04,1:53.12,5,9.83,1:53.68
4,10.20,2:03.60,2,10.18,2:03.37,3,10.23,2:03.50,1,10.17,2:03.29,5,10.01,2:03.69
4,9.93,2:13.53,1,9.72,2:13.09,2,9.89,2:13.39,3,10.16,2:13.45,5,10.09,2:13.78
3,9.74,2:23.27,1,9.75,2:22.84,2,9.71,2:23.10,4,10.30,2:23.75,5,10.11,2:23.89
3,9.78,2:33.046,1,9.75,2:32.582,2,9.69,2:32.784,4,10.42,2:34.162,5,10.46,2:34.344
