Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,BLACKBURN Mackenzie POSITION,BLACKBURN Mackenzie LAP TIME,BLACKBURN Mackenzie ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME,Mark PRINSEN POSITION,Mark PRINSEN LAP TIME,Mark PRINSEN ELAPSED TIME
2,7.15,7.15,1,6.95,6.95,3,7.19,7.19,4,7.39,7.39
2,9.19,16.34,1,9.34,16.29,3,9.28,16.47,4,9.33,16.72
2,9.06,25.40,1,8.86,25.15,3,8.94,25.41,4,8.87,25.59
4,29.83,55.23,1,9.15,34.30,2,9.32,34.73,3,9.20,34.79
3,20.51,1:15.740,1,9.37,43.661,0,,PEN,2,9.45,44.237
