Hannah MORRISON POSITION,Hannah MORRISON LAP TIME,Hannah MORRISON ELAPSED TIME,Petra JASZAPATI POSITION,Petra JASZAPATI LAP TIME,Petra JASZAPATI ELAPSED TIME,EFREMENKOVA Ekaterina POSITION,EFREMENKOVA Ekaterina LAP TIME,EFREMENKOVA Ekaterina ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME,KIM Geon Hee POSITION,KIM Geon Hee LAP TIME,KIM Geon Hee ELAPSED TIME,VALCEPINA Arianna POSITION,VALCEPINA Arianna LAP TIME,VALCEPINA Arianna ELAPSED TIME
1,9.98,9.98,3,10.25,10.25,2,10.08,10.08,4,10.44,10.44,5,10.61,10.61,6,10.66,10.66
1,14.33,24.31,3,14.29,24.54,2,14.34,24.42,4,14.22,24.66,5,14.24,24.85,6,14.29,24.95
1,13.64,37.95,3,13.65,38.19,2,13.64,38.06,4,13.67,38.33,5,13.72,38.57,6,13.71,38.66
1,13.41,51.36,3,13.41,51.60,2,13.42,51.48,5,13.40,51.73,6,13.38,51.95,4,12.95,51.61
2,11.60,1:02.96,3,11.42,1:03.02,4,11.57,1:03.05,5,11.47,1:03.20,6,11.41,1:03.36,1,11.28,1:02.89
5,10.64,1:13.60,1,10.19,1:13.21,2,10.27,1:13.32,6,10.41,1:13.61,3,9.98,1:13.34,4,10.57,1:13.46
6,9.95,1:23.55,2,9.56,1:22.77,3,9.52,1:22.84,4,9.26,1:22.87,1,9.38,1:22.72,5,9.43,1:22.89
6,9.87,1:33.42,3,9.58,1:32.35,4,9.65,1:32.49,1,9.26,1:32.13,2,9.53,1:32.25,5,9.72,1:32.61
6,10.15,1:43.57,3,9.81,1:42.16,4,9.76,1:42.25,1,9.83,1:41.96,2,9.84,1:42.09,5,9.72,1:42.33
6,10.42,1:53.99,3,10.02,1:52.18,4,10.05,1:52.30,1,9.90,1:51.86,2,9.94,1:52.03,5,10.06,1:52.39
6,10.85,2:04.84,3,9.54,2:01.72,4,9.50,2:01.80,1,9.74,2:01.60,2,9.63,2:01.66,5,9.60,2:01.99
6,11.37,2:16.21,4,9.71,2:11.43,3,9.50,2:11.30,2,9.69,2:11.29,1,9.57,2:11.23,5,9.56,2:11.55
6,11.84,2:28.05,1,9.62,2:21.05,4,10.03,2:21.33,3,9.95,2:21.24,1,9.82,2:21.05,5,10.02,2:21.57
6,12.16,2:40.211,1,9.51,2:30.565,4,10.49,2:31.819,3,10.12,2:31.363,2,9.77,2:30.830,5,10.46,2:32.029
