SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME,Vera RASSKAZOVA POSITION,Vera RASSKAZOVA LAP TIME,Vera RASSKAZOVA ELAPSED TIME,GAERTNER Anna Katharina POSITION,GAERTNER Anna Katharina LAP TIME,GAERTNER Anna Katharina ELAPSED TIME,Erika LINDGREN POSITION,Erika LINDGREN LAP TIME,Erika LINDGREN ELAPSED TIME,Anna JANSONE POSITION,Anna JANSONE LAP TIME,Anna JANSONE ELAPSED TIME,Anna TURI POSITION,Anna TURI LAP TIME,Anna TURI ELAPSED TIME,Ina LES POSITION,Ina LES LAP TIME,Ina LES ELAPSED TIME
2,8.88,8.88,1,8.78,8.78,3,8.95,8.95,4,8.98,,7,9.28,9.28,4,8.98,8.98,6,9.15,
1,12.12,21.00,4,12.37,21.15,6,12.27,21.22,3,12.13,,7,11.98,21.26,1,12.02,21.00,5,12.04,
1,11.10,32.10,4,11.22,32.37,7,11.42,32.64,3,11.13,,6,11.29,32.55,2,11.18,32.18,5,11.27,
1,11.33,43.43,2,11.16,43.53,5,11.11,43.75,4,11.42,,6,11.31,43.86,3,11.37,43.55,7,11.49,
1,10.57,54.00,1,10.47,54.00,4,10.43,54.18,3,10.45,,6,10.49,54.35,5,10.67,54.22,7,10.89,
1,10.28,1:04.28,2,10.37,1:04.37,5,10.59,1:04.77,3,10.39,,6,10.55,1:04.90,4,10.38,1:04.60,7,11.11,
1,10.30,1:14.58,2,10.31,1:14.68,5,10.22,1:14.99,3,10.28,,6,10.22,1:15.12,4,10.28,1:14.88,7,11.44,
1,10.22,1:24.80,2,10.23,1:24.91,5,10.16,1:25.15,3,10.22,,6,10.20,1:25.32,4,10.19,1:25.07,7,11.97,
1,10.17,1:34.97,2,10.15,1:35.06,5,10.18,1:35.33,3,10.14,,6,10.22,1:35.54,4,10.23,1:35.30,7,12.32,
1,10.08,1:45.05,2,10.09,1:45.15,5,10.20,1:45.53,3,10.11,,6,10.30,1:45.84,4,10.06,1:45.36,7,12.67,
1,9.88,1:54.93,2,9.90,1:55.05,5,10.15,1:55.68,3,9.88,,6,10.94,1:56.78,4,9.95,1:55.31,7,12.70,
1,10.33,2:05.26,2,10.35,2:05.40,5,10.52,2:06.20,3,10.43,,6,11.86,2:08.64,4,10.34,2:05.65,7,12.41,
1,10.13,2:15.39,2,10.15,2:15.55,5,10.71,2:16.91,3,10.04,,6,12.45,2:21.09,4,10.73,2:16.38,7,12.48,
1,10.28,2:25.67,7,32.81,2:48.36,0,10.71,2:27.62,5,20.29,,4,12.56,2:33.65,0,11.24,2:27.62,6,12.35,
