Tomass BAKEVICS POSITION,Tomass BAKEVICS LAP TIME,Tomass BAKEVICS ELAPSED TIME,MARTINIC Ivan POSITION,MARTINIC Ivan LAP TIME,MARTINIC Ivan ELAPSED TIME,Michal CUJA POSITION,Michal CUJA LAP TIME,Michal CUJA ELAPSED TIME,TSANG Kei Wing Kelvin POSITION,TSANG Kei Wing Kelvin LAP TIME,TSANG Kei Wing Kelvin ELAPSED TIME
1,12.51,12.51,2,13.94,13.94,3,14.01,14.01,4,14.17,14.17
1,9.48,21.99,2,10.89,24.83,3,10.92,24.93,4,10.88,25.05
1,9.39,31.38,2,10.75,35.58,3,10.75,35.68,4,10.79,35.84
1,9.39,40.77,2,10.54,46.12,3,10.55,46.23,4,10.59,46.43
4,18.88,59.65,1,10.03,56.15,2,10.01,56.24,3,10.46,56.89
4,11.73,1:11.38,1,10.01,1:06.16,2,10.02,1:06.26,3,10.73,1:07.62
4,10.81,1:22.19,1,10.26,1:16.42,2,10.23,1:16.49,3,11.39,1:19.01
4,10.66,1:32.85,2,10.59,1:27.01,1,10.49,1:26.98,3,12.12,1:31.13
3,10.38,1:43.225,2,10.90,1:37.910,1,10.63,1:37.607,4,12.17,1:43.294
