van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,SANTOS Kristen POSITION,SANTOS Kristen LAP TIME,SANTOS Kristen ELAPSED TIME
2,12.96,12.96,1,12.91,12.91,4,13.22,13.22,3,13.10,13.10,5,13.38,13.38
2,9.71,22.67,1,9.70,22.61,4,9.61,22.83,3,9.66,22.76,5,9.58,22.96
1,9.55,32.22,2,9.66,32.27,4,9.64,32.47,3,9.65,32.41,5,9.62,32.58
1,9.47,41.69,2,9.55,41.82,3,9.43,41.90,4,9.50,41.91,5,9.47,42.05
1,9.34,51.03,2,9.22,51.04,3,9.26,51.16,4,9.35,51.26,5,9.33,51.38
2,9.46,1:00.49,1,9.32,1:00.36,3,9.43,1:00.59,4,9.45,1:00.71,5,9.46,1:00.84
2,9.61,1:10.10,1,9.62,1:09.98,3,9.57,1:10.16,4,9.55,1:10.26,5,9.57,1:10.41
3,9.89,1:19.99,1,9.82,1:19.80,2,9.65,1:19.81,4,9.88,1:20.14,5,9.80,1:20.21
3,10.26,1:30.25,2,10.11,1:29.91,1,9.75,1:29.56,4,10.21,1:30.327,5,10.46,1:30.645
