Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,Janis PIUSS POSITION,Janis PIUSS LAP TIME,Janis PIUSS ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME
1,6.66,6.66,3,7.19,7.19,4,8.02,8.02,2,6.96,6.96
1,9.17,15.83,3,9.18,16.37,4,13.67,21.70,2,9.16,16.13
1,8.77,24.60,3,8.68,25.05,4,13.90,35.60,2,8.66,24.79
1,8.95,33.55,3,8.90,33.96,4,11.32,46.93,2,8.79,33.59
4,31.30,1:04.845,2,9.17,43.127,3,11.18,58.106,1,9.11,42.699
