START_POS_1 POSITION,START_POS_1 LAP TIME,START_POS_1 ELAPSED TIME,START_POS_2 POSITION,START_POS_2 LAP TIME,START_POS_2 ELAPSED TIME,START_POS_3 POSITION,START_POS_3 LAP TIME,START_POS_3 ELAPSED TIME,START_POS_4 POSITION,START_POS_4 LAP TIME,START_POS_4 ELAPSED TIME,START_POS_5 POSITION,START_POS_5 LAP TIME,START_POS_5 ELAPSED TIME,season,competition,event,gender,round,race
2,13.21,13.21,1,13.05,13.05,4,13.33,13.33,3,13.30,13.30,5,13.45,,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1000m,m,Quarterfinals,3
3,9.32,22.53,1,9.33,22.38,4,9.36,22.69,2,9.17,22.47,5,9.35,,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1000m,m,Quarterfinals,3
3,9.46,31.99,1,9.43,31.81,4,9.39,32.08,2,9.41,31.88,5,9.43,,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1000m,m,Quarterfinals,3
4,9.45,41.44,1,9.34,41.15,3,9.25,41.33,2,9.36,41.24,5,9.38,,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1000m,m,Quarterfinals,3
4,9.11,50.55,1,9.18,50.33,2,9.10,50.43,3,9.20,50.44,5,9.17,,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1000m,m,Quarterfinals,3
3,9.09,59.64,1,9.16,59.49,2,9.14,59.57,4,9.33,59.77,5,25.41,,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1000m,m,Quarterfinals,3
2,9.01,1:08.65,1,9.03,1:08.52,3,9.20,1:08.77,4,9.16,1:08.93,5,15.43,,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1000m,m,Quarterfinals,3
2,8.85,1:17.50,1,8.90,1:17.42,3,8.83,1:17.60,4,8.85,1:17.78,5,12.38,,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1000m,m,Quarterfinals,3
2,8.95,1:26.45,1,8.90,1:26.32,3,9.18,1:26.781,4,9.11,1:26.898,,,,2017-2018,ISU World Short Track Championships 2018 - Montreal (CAN),1000m,m,Quarterfinals,3
