Hiroki YOKOYAMA POSITION,Hiroki YOKOYAMA LAP TIME,Hiroki YOKOYAMA ELAPSED TIME,Thomas Insuk HONG POSITION,Thomas Insuk HONG LAP TIME,Thomas Insuk HONG ELAPSED TIME,William PREUDHOMME POSITION,William PREUDHOMME LAP TIME,William PREUDHOMME ELAPSED TIME,Felix SPIEGL POSITION,Felix SPIEGL LAP TIME,Felix SPIEGL ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,ZHAXYBAYEV Mersaid POSITION,ZHAXYBAYEV Mersaid LAP TIME,ZHAXYBAYEV Mersaid ELAPSED TIME
2,9.63,9.63,1,9.50,9.50,3,9.76,9.76,5,10.02,10.02,4,9.88,9.88,6,10.19,10.19
2,13.99,23.62,1,13.99,23.49,3,13.97,23.73,5,14.05,24.07,4,14.00,23.88,6,14.01,24.20
3,13.57,37.19,2,13.59,37.08,4,13.55,37.28,5,13.36,37.43,1,13.18,37.06,6,13.36,37.56
3,11.93,49.12,1,11.84,48.92,4,11.96,49.24,5,12.04,49.47,2,11.91,48.97,6,12.02,49.58
3,11.44,1:00.56,1,11.51,1:00.43,4,11.41,1:00.65,6,11.33,1:00.80,2,11.54,1:00.51,5,11.19,1:00.77
4,11.01,1:11.57,2,11.03,1:11.46,3,10.90,1:11.55,6,10.99,1:11.79,1,10.82,1:11.33,5,10.86,1:11.63
1,9.71,1:21.28,3,9.96,1:21.42,4,9.96,1:21.51,6,9.96,1:21.75,2,10.03,1:21.36,5,9.98,1:21.61
2,10.05,1:31.33,4,10.09,1:31.51,3,9.92,1:31.43,6,10.00,1:31.75,1,9.95,1:31.31,5,9.97,1:31.58
2,9.51,1:40.84,3,9.42,1:40.93,3,9.50,1:40.93,6,9.42,1:41.17,1,9.45,1:40.76,5,9.45,1:41.03
2,8.84,1:49.68,3,8.77,1:49.70,4,8.82,1:49.75,6,8.86,1:50.03,1,8.80,1:49.56,5,8.87,1:49.90
2,8.54,1:58.22,4,8.68,1:58.38,3,8.57,1:58.32,6,8.53,1:58.56,1,8.56,1:58.12,5,8.52,1:58.42
2,8.59,2:06.81,6,8.87,2:07.25,3,8.60,2:06.92,5,8.59,2:07.15,1,8.60,2:06.72,4,8.61,2:07.03
2,8.64,2:15.45,6,8.76,2:16.01,3,8.60,2:15.52,5,8.68,2:15.83,1,8.68,2:15.40,4,8.72,2:15.75
2,8.99,2:24.437,5,8.96,2:24.973,3,9.04,2:24.564,4,9.00,2:24.835,1,8.87,2:24.275,6,9.62,2:25.367
