Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME
1,11.55,11.55,3,11.72,11.72,5,12.41,12.41,4,11.99,11.99,2,11.56,11.56
2,17.64,29.19,3,17.67,29.39,5,17.53,29.94,4,17.66,29.65,1,17.46,29.02
3,12.95,42.14,4,12.92,42.31,1,11.35,41.29,5,12.93,42.58,2,12.92,41.94
3,9.07,51.21,4,9.02,51.33,1,8.95,50.24,5,9.01,51.59,2,9.13,51.07
3,9.41,1:00.62,4,9.34,1:00.67,1,9.79,1:00.03,5,9.25,1:00.84,2,9.50,1:00.57
3,11.05,1:11.67,4,11.09,1:11.76,1,11.44,1:11.47,5,11.10,1:11.94,2,10.98,1:11.55
3,11.17,1:22.84,4,11.24,1:23.00,1,11.13,1:22.60,5,11.23,1:23.17,2,11.19,1:22.74
3,10.32,1:33.16,4,10.30,1:33.30,1,10.39,1:32.99,5,10.23,1:33.40,2,10.34,1:33.08
3,10.34,1:43.50,4,10.30,1:43.60,1,10.34,1:43.33,5,10.32,1:43.72,2,10.30,1:43.38
2,9.39,1:52.89,4,9.51,1:53.11,1,9.53,1:52.86,5,9.61,1:53.33,3,9.56,1:52.94
3,8.98,2:01.87,4,8.85,2:01.96,1,8.87,2:01.73,5,8.79,2:02.12,2,8.87,2:01.81
3,8.95,2:10.82,4,8.97,2:10.93,2,8.97,2:10.70,5,8.94,2:11.06,1,8.80,2:10.61
3,8.71,2:19.53,5,8.77,2:19.70,2,8.81,2:19.51,4,8.63,2:19.69,1,8.65,2:19.26
3,8.84,2:28.366,5,9.21,2:28.905,2,8.83,2:28.338,4,8.96,2:28.643,1,8.74,2:27.993
