Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Viktor KOROLOV POSITION,Viktor KOROLOV LAP TIME,Viktor KOROLOV ELAPSED TIME
2,14.30,14.30,3,14.47,14.47,1,14.00,14.00
2,9.91,24.21,3,9.90,24.37,1,10.09,24.09
2,10.14,34.35,3,10.12,34.49,1,10.13,34.22
2,10.03,44.38,3,10.03,44.52,1,10.06,44.28
1,9.55,53.93,2,9.53,54.05,3,9.82,54.10
1,9.66,1:03.59,2,9.63,1:03.68,3,9.73,1:03.83
1,9.67,1:13.26,2,9.67,1:13.35,3,9.81,1:13.64
1,9.36,1:22.62,2,9.41,1:22.76,3,10.15,1:23.79
1,9.89,1:32.505,2,10.30,1:33.052,3,10.86,1:34.650
