Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME,Pietro de LORENZIS POSITION,Pietro de LORENZIS LAP TIME,Pietro de LORENZIS ELAPSED TIME,WILCZYK Szymon POSITION,WILCZYK Szymon LAP TIME,WILCZYK Szymon ELAPSED TIME,Dan IWASA POSITION,Dan IWASA LAP TIME,Dan IWASA ELAPSED TIME,Aliaksandr ARLOU POSITION,Aliaksandr ARLOU LAP TIME,Aliaksandr ARLOU ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME
4,9.39,9.39,3,9.34,9.34,6,9.72,9.72,2,9.34,9.34,5,9.51,9.51,1,9.21,9.21
4,12.91,22.30,3,12.82,22.16,6,12.94,22.66,2,12.73,22.07,5,12.89,22.40,1,12.56,21.77
4,12.44,34.74,3,12.47,34.63,6,12.31,34.97,2,12.48,34.55,5,12.46,34.86,1,12.66,34.43
4,12.56,47.30,3,12.56,47.19,6,12.53,47.50,2,12.55,47.10,5,12.54,47.40,1,12.55,46.98
4,12.63,59.93,3,12.64,59.83,6,12.68,1:00.18,2,12.64,59.74,5,12.65,1:00.05,1,12.59,59.57
3,11.81,1:11.74,5,12.04,1:11.87,6,11.89,1:12.07,2,12.00,1:11.74,4,11.77,1:11.82,1,12.13,1:11.70
3,10.69,1:22.43,2,10.45,1:22.32,5,10.51,1:22.58,1,10.47,1:22.21,4,10.72,1:22.54,6,10.92,1:22.62
3,10.75,1:33.18,2,10.72,1:33.04,4,10.71,1:33.29,1,10.78,1:32.99,5,10.88,1:33.42,6,10.87,1:33.49
3,10.05,1:43.23,1,9.99,1:43.03,4,10.02,1:43.31,2,10.11,1:43.10,5,10.02,1:43.44,6,10.13,1:43.62
5,10.18,1:53.41,1,10.04,1:53.07,3,9.96,1:53.27,2,10.00,1:53.10,4,9.93,1:53.37,6,9.91,1:53.53
5,9.95,2:03.36,2,9.90,2:02.97,3,9.73,2:03.00,1,9.59,2:02.69,4,9.85,2:03.22,6,9.95,2:03.48
3,9.39,2:12.75,4,9.85,2:12.82,2,9.35,2:12.35,1,9.38,2:12.07,5,9.74,2:12.96,6,9.79,2:13.27
3,9.85,2:22.60,6,10.52,2:23.34,2,9.44,2:21.79,1,9.46,2:21.53,4,10.13,2:23.09,5,10.06,2:23.33
3,10.24,2:32.840,6,11.94,2:35.279,2,10.17,2:31.956,1,9.73,2:31.260,5,10.38,2:33.468,4,10.09,2:33.414
