SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,TIKHONOVA Olga POSITION,TIKHONOVA Olga LAP TIME,TIKHONOVA Olga ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME
6,11.42,11.42,2,10.90,10.90,4,11.07,11.07,3,11.00,11.00,1,10.82,10.82,5,11.21,11.21,7,11.57,11.57
6,18.36,29.78,3,18.39,29.29,4,18.41,29.48,2,18.07,29.07,1,18.11,28.93,5,18.46,29.67,7,18.46,30.03
2,15.51,45.29,1,16.00,45.29,5,16.04,45.52,4,16.31,45.38,3,16.44,45.37,7,15.92,45.59,6,15.53,45.56
6,13.01,58.30,2,12.75,58.04,3,12.63,58.15,5,12.83,58.21,7,12.98,58.35,4,12.59,58.18,1,12.34,57.90
7,12.05,1:10.35,4,11.87,1:09.91,5,11.87,1:10.02,2,11.45,1:09.66,6,11.81,1:10.16,1,11.39,1:09.57,3,11.88,1:09.78
7,11.74,1:22.09,5,11.92,1:21.83,1,11.28,1:21.30,3,11.91,1:21.57,6,11.75,1:21.91,2,11.84,1:21.41,4,11.91,1:21.69
7,10.82,1:32.91,6,10.93,1:32.76,3,11.14,1:32.44,2,10.73,1:32.30,5,10.73,1:32.64,4,11.16,1:32.57,1,10.47,1:32.16
7,10.24,1:43.15,6,10.28,1:43.04,3,10.33,1:42.77,2,10.38,1:42.68,5,10.31,1:42.95,4,10.28,1:42.85,1,10.43,1:42.59
4,9.99,1:53.14,7,10.33,1:53.37,5,10.41,1:53.18,2,10.25,1:52.93,3,10.06,1:53.01,6,10.45,1:53.30,1,10.22,1:52.81
1,9.05,2:02.19,6,9.35,2:02.72,5,9.54,2:02.72,4,9.71,2:02.64,3,9.37,2:02.38,7,9.52,2:02.82,2,9.46,2:02.27
1,9.33,2:11.52,4,9.05,2:11.77,7,23.12,2:25.84,5,20.00,2:22.64,3,9.28,2:11.66,6,22.38,2:25.20,2,9.33,2:11.60
1,9.48,2:21.00,4,9.53,2:21.30,6,17.50,2:43.34,5,15.42,2:38.06,3,9.57,2:21.23,7,18.44,2:43.64,2,9.49,2:21.09
1,9.46,2:30.46,4,9.51,2:30.81,6,12.90,2:56.24,5,12.18,2:50.24,3,9.47,2:30.70,7,12.87,2:56.51,2,9.55,2:30.64
1,9.81,2:40.268,3,9.56,2:40.369,0,,PEN,5,17.62,3:07.853,4,9.73,2:40.423,6,12.37,3:08.874,2,9.69,2:40.327
