JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
2,7.00,7.00,1,6.93,6.93,4,7.17,7.17,5,7.22,7.22,3,7.16,7.16
2,9.01,16.01,1,8.80,15.73,5,9.20,16.37,3,8.85,16.07,4,9.01,16.17
5,9.31,25.32,1,8.28,24.01,4,8.53,24.90,3,8.60,24.67,2,8.48,24.65
5,10.09,35.41,1,8.39,32.40,4,8.58,33.48,3,8.74,33.41,2,8.53,33.18
5,11.19,46.60,1,8.51,40.91,3,8.65,42.13,4,8.76,42.17,2,8.57,41.75
