Samuel GIRARD POSITION,Samuel GIRARD LAP TIME,Samuel GIRARD ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,NIKISHA Denis POSITION,NIKISHA Denis LAP TIME,NIKISHA Denis ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME
3,7.05,7.05,1,6.89,6.89,2,7.04,7.04,4,7.26,7.26
3,8.98,16.03,1,8.86,15.75,2,8.91,15.95,4,8.95,16.21
2,8.62,24.65,1,8.44,24.19,3,8.88,24.83,4,8.63,24.84
2,8.57,33.22,1,8.51,32.70,4,8.96,33.79,3,8.59,33.43
2,8.74,41.954,1,8.81,41.508,4,9.24,43.024,3,8.65,42.076
