Noah ESSAGHIR POSITION,Noah ESSAGHIR LAP TIME,Noah ESSAGHIR ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME,Andrej VALACH POSITION,Andrej VALACH LAP TIME,Andrej VALACH ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,BYKANOV Vladislav POSITION,BYKANOV Vladislav LAP TIME,BYKANOV Vladislav ELAPSED TIME
5,9.70,9.70,4,9.54,9.54,3,9.22,9.22,2,9.11,9.11,1,9.01,9.01
5,12.34,22.04,4,12.32,21.86,3,12.46,21.68,2,12.44,21.55,1,12.44,21.45
4,11.67,33.71,5,11.86,33.72,3,11.87,33.55,2,11.89,33.44,1,11.90,33.35
1,10.31,44.02,5,10.98,44.70,4,10.89,44.44,2,10.74,44.18,3,10.97,44.32
1,10.82,54.84,5,10.54,55.24,4,10.72,55.16,2,10.78,54.96,3,10.76,55.08
3,10.99,1:05.83,1,10.47,1:05.71,5,11.00,1:06.16,2,10.86,1:05.82,4,10.96,1:06.04
4,10.49,1:16.32,2,10.32,1:16.03,5,10.28,1:16.44,1,10.18,1:16.00,3,10.13,1:16.17
4,9.99,1:26.31,2,10.05,1:26.08,5,9.98,1:26.42,1,9.99,1:25.99,3,10.01,1:26.18
4,10.22,1:36.53,2,10.23,1:36.31,5,10.30,1:36.72,1,10.16,1:36.15,3,10.23,1:36.41
4,10.15,1:46.68,2,10.08,1:46.39,5,10.08,1:46.80,1,10.11,1:46.26,3,10.13,1:46.54
4,9.85,1:56.53,2,9.91,1:56.30,5,9.84,1:56.64,1,9.94,1:56.20,3,9.87,1:56.41
4,9.63,2:06.16,1,9.21,2:05.51,5,9.61,2:06.25,2,9.44,2:05.64,3,9.45,2:05.86
5,9.82,2:15.98,1,9.13,2:14.64,4,9.56,2:15.81,2,9.12,2:14.76,3,9.52,2:15.38
5,10.24,2:26.216,1,9.28,2:23.916,4,9.83,2:25.634,2,9.52,2:24.275,3,9.96,2:25.333
