KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,LETAI Julie POSITION,LETAI Julie LAP TIME,LETAI Julie ELAPSED TIME,ZAKHAROVA Evgeniya POSITION,ZAKHAROVA Evgeniya LAP TIME,ZAKHAROVA Evgeniya ELAPSED TIME,Tereza PFEIFEROVA POSITION,Tereza PFEIFEROVA LAP TIME,Tereza PFEIFEROVA ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
1,14.77,,3,14.87,14.87,2,14.85,14.85,5,15.09,15.09,4,15.00,15.00
1,11.23,,4,11.32,26.19,2,11.23,26.08,5,11.21,26.30,3,11.13,26.13
2,10.21,,5,10.26,36.45,3,10.26,36.34,4,10.09,36.39,1,10.00,36.13
2,9.64,,4,9.60,46.05,3,9.60,45.94,5,9.81,46.20,1,9.60,45.73
3,9.74,,4,9.69,55.74,2,9.52,55.46,5,9.68,55.88,1,9.65,55.38
3,9.60,,4,9.60,1:05.34,2,9.62,1:05.08,5,9.62,1:05.50,1,9.60,1:04.98
3,9.48,,4,9.81,1:15.15,2,9.56,1:14.64,5,9.84,1:15.34,1,9.57,1:14.55
2,9.71,,4,10.26,1:25.41,3,9.85,1:24.49,5,10.16,1:25.50,1,9.71,1:24.26
2,9.87,,4,10.65,1:36.061,3,9.79,1:34.28,3,10.42,1:35.923,1,9.91,1:34.17
