Artur SULTANGALIYEV POSITION,Artur SULTANGALIYEV LAP TIME,Artur SULTANGALIYEV ELAPSED TIME,Munkhdori GANTUMUR POSITION,Munkhdori GANTUMUR LAP TIME,Munkhdori GANTUMUR ELAPSED TIME,Francois-Louis TREMBLAY POSITION,Francois-Louis TREMBLAY LAP TIME,Francois-Louis TREMBLAY ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Claudio RINALDI POSITION,Claudio RINALDI LAP TIME,Claudio RINALDI ELAPSED TIME
5,13.09,13.09,1,12.90,12.90,4,13.02,13.02,2,12.92,12.92,3,13.00,13.00
4,10.22,23.32,5,22.34,35.24,2,9.90,22.93,1,10.01,22.93,3,10.23,23.24
4,9.77,33.09,5,13.73,48.98,2,10.00,32.93,1,9.96,32.90,3,9.80,33.04
4,10.01,43.10,5,12.98,1:01.96,2,9.88,42.82,1,9.82,42.72,3,9.86,42.91
3,9.53,52.63,5,12.37,1:14.33,4,10.34,53.16,1,9.71,52.44,2,9.66,52.57
4,9.39,1:02.03,5,12.26,1:26.59,1,8.61,1:01.78,2,9.35,1:01.79,3,9.44,1:02.01
4,9.26,1:11.30,5,11.88,1:38.48,1,9.23,1:11.01,2,9.23,1:11.02,3,9.19,1:11.20
4,9.11,1:20.41,5,16.09,1:54.57,1,9.14,1:20.16,2,9.19,1:20.22,3,9.14,1:20.35
4,9.44,1:29.845,0,,,1,9.34,1:29.499,2,9.37,1:29.588,3,9.42,1:29.761
