Yaroslav KARPOUKHIN POSITION,Yaroslav KARPOUKHIN LAP TIME,Yaroslav KARPOUKHIN ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Alex McEWAN POSITION,Alex McEWAN LAP TIME,Alex McEWAN ELAPSED TIME,Philip BROJAKA POSITION,Philip BROJAKA LAP TIME,Philip BROJAKA ELAPSED TIME
2,6.871,6.871,1,6.793,6.793,3,7.175,7.175,4,7.184,7.184
2,9.370,16.240,1,9.359,16.152,3,9.174,16.348,4,9.431,16.615
1,9.073,25.313,2,9.177,25.329,3,9.182,25.529,4,9.314,25.928
2,9.158,34.470,1,9.125,34.453,3,9.242,34.771,4,9.436,35.363
3,25.16,59.623,1,9.68,44.129,0,,DQ,2,9.87,45.225
