MENG Xiaoxue POSITION,MENG Xiaoxue LAP TIME,MENG Xiaoxue ELAPSED TIME,TITKINA Anna POSITION,TITKINA Anna LAP TIME,TITKINA Anna ELAPSED TIME,KOYAMA Yukari POSITION,KOYAMA Yukari LAP TIME,KOYAMA Yukari ELAPSED TIME,Karolina REGUCKA POSITION,Karolina REGUCKA LAP TIME,Karolina REGUCKA ELAPSED TIME,Andrea DO-DUC POSITION,Andrea DO-DUC LAP TIME,Andrea DO-DUC ELAPSED TIME,Marta CAPURSO POSITION,Marta CAPURSO LAP TIME,Marta CAPURSO ELAPSED TIME
0,10.020,10.020,0,10.090,10.090,0,9.896,9.896,0,9.950,9.950,0,9.765,9.765,0,9.792,9.792
0,14.674,24.694,0,14.263,24.353,0,14.343,24.238,0,14.267,24.217,0,14.337,24.102,0,14.238,24.030
0,13.556,38.250,0,13.602,37.955,0,13.587,37.825,0,13.653,37.870,0,13.614,37.716,0,13.702,37.731
0,13.253,51.503,0,13.281,51.235,0,12.994,50.819,0,13.204,51.075,0,13.171,50.887,0,13.259,50.990
0,13.280,1:04.783,0,13.339,1:04.574,0,13.684,1:04.503,0,13.372,1:04.447,0,13.428,1:04.315,0,13.350,1:04.340
0,13.415,1:18.198,0,13.378,1:17.952,0,13.332,1:17.835,0,13.169,1:17.616,0,13.569,1:17.883,0,13.304,1:17.643
0,11.186,1:29.384,0,11.516,1:29.467,0,11.314,1:29.148,0,11.443,1:29.059,0,11.276,1:29.159,0,11.563,1:29.207
0,9.854,1:39.238,0,10.681,1:40.148,0,10.621,1:39.770,0,10.860,1:39.919,0,10.541,1:39.700,0,10.494,1:39.701
0,9.940,1:49.177,0,11.091,1:51.239,0,9.652,1:49.422,0,10.069,1:49.988,0,9.831,1:49.531,0,9.716,1:49.417
0,10.046,1:59.223,0,11.771,2:03.010,0,9.938,1:59.360,0,10.184,2:00.172,0,9.908,1:59.440,0,9.938,1:59.355
0,10.024,2:09.247,0,12.235,2:15.245,0,9.934,2:09.294,0,10.484,2:10.656,0,9.896,2:09.336,0,9.917,2:09.271
0,10.041,2:19.288,0,12.777,2:28.022,0,10.115,2:19.409,0,10.662,2:21.318,0,10.065,2:19.401,0,10.029,2:19.300
0,10.086,2:29.374,0,14.077,2:42.100,0,10.142,2:29.551,0,10.973,2:32.290,0,10.100,2:29.501,0,10.049,2:29.349
0,,,0,,,0,,,0,,,0,,,0,,
