NOH Jinkyu POSITION,NOH Jinkyu LAP TIME,NOH Jinkyu ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME,Jack WHELBOURNE POSITION,Jack WHELBOURNE LAP TIME,Jack WHELBOURNE ELAPSED TIME,Michael GILDAY POSITION,Michael GILDAY LAP TIME,Michael GILDAY ELAPSED TIME
3,13.44,13.44,4,13.50,13.50,2,13.33,13.33,1,13.10,13.10
4,10.55,23.99,1,10.08,23.58,3,10.48,23.81,2,10.56,23.66
4,10.00,33.99,2,10.07,33.65,3,10.08,33.89,1,9.94,33.60
4,9.46,43.45,2,9.63,43.28,3,9.40,43.29,1,9.55,43.15
4,9.26,52.71,3,9.41,52.69,2,9.30,52.59,1,9.31,52.46
2,8.92,1:01.63,4,9.12,1:01.81,3,9.09,1:01.68,1,9.04,1:01.50
1,8.81,1:10.44,4,8.95,1:10.76,3,9.08,1:10.76,2,9.03,1:10.53
1,8.89,1:19.33,3,9.04,1:19.80,4,9.14,1:19.90,2,9.11,1:19.64
1,9.22,1:28.542,3,9.27,1:29.069,4,9.40,1:29.298,2,9.38,1:29.011
