SZASZ Attila POSITION,SZASZ Attila LAP TIME,SZASZ Attila ELAPSED TIME,OH Han Yuan POSITION,OH Han Yuan LAP TIME,OH Han Yuan ELAPSED TIME,Furkan AKAR POSITION,Furkan AKAR LAP TIME,Furkan AKAR ELAPSED TIME,DANDJINOU William POSITION,DANDJINOU William LAP TIME,DANDJINOU William ELAPSED TIME,NADALINI Thomas POSITION,NADALINI Thomas LAP TIME,NADALINI Thomas ELAPSED TIME,LIAO Wei-Cheng POSITION,LIAO Wei-Cheng LAP TIME,LIAO Wei-Cheng ELAPSED TIME
2,9.14,9.14,1,8.89,8.89,4,9.30,,5,9.38,9.38,3,9.26,,6,9.50,9.50
3,10.98,20.12,5,11.53,20.42,4,11.07,,1,10.42,19.80,2,10.73,,6,11.10,20.60
3,10.06,30.18,5,9.92,30.34,4,9.91,,1,10.13,29.93,2,10.06,,6,9.87,30.47
3,10.07,40.25,5,10.13,40.47,4,10.07,,1,10.11,40.04,2,10.09,,6,10.12,40.59
3,10.21,50.46,5,10.19,50.66,4,10.22,,1,10.16,50.20,2,10.19,,6,10.16,50.75
3,10.17,1:00.63,5,10.18,1:00.84,4,10.16,,1,10.20,1:00.40,2,10.18,,6,10.19,1:00.94
3,10.02,1:10.65,5,10.02,1:10.86,4,10.01,,1,10.05,1:10.45,2,10.04,,6,10.05,1:10.99
3,9.83,1:20.48,5,9.88,1:20.74,4,9.84,,1,9.77,1:20.22,2,9.78,,6,9.89,1:20.88
3,9.40,1:29.88,5,9.34,1:30.08,4,9.32,,1,9.47,1:29.69,2,9.45,,6,9.95,1:30.83
4,9.33,1:39.21,5,9.44,1:39.52,3,9.21,,1,9.19,1:38.88,2,9.23,,6,10.44,1:41.27
3,9.01,1:48.22,5,9.91,1:49.43,2,8.94,,1,9.09,1:47.97,4,9.32,,6,10.98,1:52.25
3,9.07,1:57.29,5,10.53,1:59.96,2,9.14,,1,9.10,1:57.07,4,9.08,,6,11.43,2:03.68
3,9.32,2:06.61,5,11.28,2:11.24,2,9.33,,1,9.35,2:06.42,3,9.20,,6,12.51,2:16.19
3,9.87,2:16.48,4,11.23,2:22.47,2,9.62,,1,9.60,2:16.02,6,24.95,,5,12.06,2:28.25
