UZAKOVA Mariia-Mahdalyna POSITION,UZAKOVA Mariia-Mahdalyna LAP TIME,UZAKOVA Mariia-Mahdalyna ELAPSED TIME,STORMOWSKA Kamila POSITION,STORMOWSKA Kamila LAP TIME,STORMOWSKA Kamila ELAPSED TIME,Anne Floor OTTER POSITION,Anne Floor OTTER LAP TIME,Anne Floor OTTER ELAPSED TIME,Kynie CHAN POSITION,Kynie CHAN LAP TIME,Kynie CHAN ELAPSED TIME,Kadisha BAKHITKEREYEVA POSITION,Kadisha BAKHITKEREYEVA LAP TIME,Kadisha BAKHITKEREYEVA ELAPSED TIME,Hailey CHOI POSITION,Hailey CHOI LAP TIME,Hailey CHOI ELAPSED TIME,Gloria CONFORTOLA POSITION,Gloria CONFORTOLA LAP TIME,Gloria CONFORTOLA ELAPSED TIME
7,10.52,10.52,6,10.45,10.45,3,10.28,10.28,4,10.34,10.34,5,10.39,10.39,2,10.24,10.24,1,10.13,10.13
2,12.75,23.27,6,13.10,23.55,7,13.52,23.80,1,12.92,23.26,3,12.98,23.37,5,13.28,23.52,4,13.26,23.39
1,11.35,34.62,3,11.31,34.86,7,11.37,35.17,2,11.46,34.72,5,11.60,34.97,6,11.55,35.07,3,11.47,34.86
1,11.48,46.10,2,11.33,46.19,7,11.21,46.38,5,11.60,46.32,3,11.30,46.27,4,11.23,46.30,6,11.51,46.37
1,11.28,57.38,2,11.29,57.48,5,11.45,57.83,7,11.96,58.28,4,11.39,57.66,3,11.27,57.57,6,11.59,57.96
1,11.32,1:08.70,3,11.36,1:08.84,5,11.20,1:09.03,7,11.10,1:09.38,4,11.27,1:08.93,2,11.16,1:08.73,6,11.20,1:09.16
2,11.08,1:19.78,3,11.04,1:19.88,5,10.99,1:20.02,7,11.12,1:20.50,4,11.04,1:19.97,1,10.94,1:19.67,6,10.99,1:20.15
2,11.15,1:30.93,4,11.33,1:31.21,3,11.03,1:31.05,7,11.36,1:31.86,6,11.34,1:31.31,1,11.13,1:30.80,5,11.14,1:31.29
2,10.61,1:41.54,3,10.36,1:41.57,4,10.58,1:41.63,7,11.90,1:43.76,6,10.59,1:41.90,1,10.65,1:41.45,5,10.41,1:41.70
3,10.49,1:52.03,2,10.35,1:51.92,4,10.49,1:52.12,7,12.07,1:55.83,6,10.49,1:52.39,1,10.21,1:51.66,5,10.57,1:52.27
3,9.90,2:01.93,2,9.91,2:01.83,4,9.95,2:02.07,7,12.44,2:08.27,6,10.28,2:02.67,1,10.07,2:01.73,5,9.84,2:02.11
2,9.96,2:11.89,2,10.06,2:11.89,4,9.91,2:11.98,7,12.73,2:21.00,6,10.45,2:13.12,1,10.05,2:11.78,5,10.12,2:12.23
4,10.38,2:22.27,2,10.14,2:22.03,3,10.18,2:22.16,7,13.92,2:34.92,6,11.07,2:24.19,1,10.16,2:21.94,5,10.45,2:22.68
4,10.33,2:32.60,1,10.32,2:32.35,2,10.27,2:32.43,7,13.27,2:48.19,6,11.56,2:35.75,3,10.62,2:32.56,5,10.43,2:33.11
