HAN Jialiang POSITION,HAN Jialiang LAP TIME,HAN Jialiang ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Liam McFARLANE POSITION,Liam McFARLANE LAP TIME,Liam McFARLANE ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME
1,6.85,6.85,2,6.94,6.94,3,6.95,6.95,4,7.16,7.16
1,9.05,15.90,2,9.07,16.01,4,9.34,16.29,3,9.05,16.21
1,8.55,24.45,2,8.54,24.55,4,8.52,24.81,3,8.44,24.65
2,8.74,33.19,1,8.55,33.10,4,8.61,33.42,3,8.64,33.29
2,8.54,41.728,1,8.52,41.618,4,8.54,41.955,3,8.63,41.913
