Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Kyle CARR POSITION,Kyle CARR LAP TIME,Kyle CARR ELAPSED TIME,Vladimir GRIGOREV POSITION,Vladimir GRIGOREV LAP TIME,Vladimir GRIGOREV ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
1,12.74,12.74,2,12.84,12.84,4,13.05,13.05,5,13.17,13.17,3,12.96,12.96
1,10.43,23.17,3,10.50,23.34,2,10.20,23.25,5,10.26,23.43,4,10.46,23.42
2,10.14,33.31,3,10.07,33.41,1,9.99,33.24,4,10.00,33.43,5,10.13,33.55
2,9.71,43.02,5,9.82,43.23,1,9.73,42.97,3,9.64,43.07,4,9.55,43.10
3,9.25,52.27,5,9.35,52.58,1,9.04,52.01,4,9.39,52.46,2,9.04,52.14
2,8.68,1:00.95,5,8.85,1:01.43,1,8.93,1:00.94,4,8.84,1:01.30,3,8.89,1:01.03
1,8.89,1:09.84,5,8.91,1:10.34,2,8.99,1:09.93,4,8.84,1:10.14,3,8.97,1:10.00
1,9.15,1:18.99,5,9.16,1:19.50,3,9.12,1:19.05,4,9.07,1:19.21,2,9.03,1:19.03
1,9.44,1:28.430,5,9.65,1:29.141,4,9.92,1:28.968,2,9.27,1:28.479,3,9.73,1:28.756
