Yoshiaki OGURO POSITION,Yoshiaki OGURO LAP TIME,Yoshiaki OGURO ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,KAZHGALI Nurtilek POSITION,KAZHGALI Nurtilek LAP TIME,KAZHGALI Nurtilek ELAPSED TIME,NAVARRO Tristan POSITION,NAVARRO Tristan LAP TIME,NAVARRO Tristan ELAPSED TIME
1,14.11,14.11,2,14.15,14.15,4,14.34,14.34,3,14.23,14.23
1,10.97,25.08,2,11.09,25.24,4,11.14,25.48,3,11.03,25.26
2,9.88,34.96,3,9.86,35.10,4,9.81,35.29,1,9.50,34.76
1,9.47,44.43,3,9.52,44.62,4,9.44,44.73,2,9.70,44.46
1,9.43,53.86,3,9.42,54.04,4,9.39,54.12,2,9.46,53.92
1,9.15,1:03.01,3,9.24,1:03.28,4,9.26,1:03.38,2,9.16,1:03.08
1,8.91,1:11.92,3,8.84,1:12.12,4,9.01,1:12.39,2,8.98,1:12.06
2,8.88,1:20.80,1,8.50,1:20.62,4,8.94,1:21.33,3,8.89,1:20.95
2,9.02,1:29.819,1,8.59,1:29.208,4,9.10,1:30.428,3,8.96,1:29.902
