HAMELIN Charles POSITION,HAMELIN Charles LAP TIME,HAMELIN Charles ELAPSED TIME,Satoru TERAO POSITION,Satoru TERAO LAP TIME,Satoru TERAO ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Takahiro FUJIMOTO POSITION,Takahiro FUJIMOTO LAP TIME,Takahiro FUJIMOTO ELAPSED TIME
2,6.730,6.730,1,6.630,6.630,4,7.120,7.120,3,7.090,7.090
2,9.040,15.780,1,9.010,15.640,3,8.890,16.010,4,9.060,16.150
2,8.580,24.360,1,8.710,24.360,3,8.740,24.760,4,8.690,24.850
1,8.690,33.060,2,8.940,33.300,4,8.980,33.750,3,8.680,33.530
1,8.960,42.020,2,8.980,42.280,3,8.990,42.740,4,9.320,42.860
