Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,J.R. CELSKI POSITION,J.R. CELSKI LAP TIME,J.R. CELSKI ELAPSED TIME
3,12.82,12.82,1,12.74,12.74,4,13.04,13.04,2,12.78,12.78
3,9.88,22.70,1,9.75,22.49,4,9.72,22.76,2,9.80,22.58
3,9.95,32.66,4,10.19,32.68,2,9.79,32.56,1,9.84,32.42
3,9.58,42.24,4,9.60,42.29,2,9.45,42.01,1,9.47,41.89
4,9.20,51.44,3,8.87,51.17,2,8.97,50.98,1,9.04,50.94
3,9.02,1:00.46,4,9.62,1:00.79,2,9.02,1:00.01,1,8.96,59.90
3,9.13,1:09.60,4,9.26,1:10.06,2,9.27,1:09.28,1,9.27,1:09.18
3,9.26,1:18.87,4,10.21,1:20.27,1,9.14,1:18.42,2,9.24,1:18.42
0,,DQ,3,10.58,1:30.847,2,9.77,1:28.187,1,9.63,1:28.046
