PIERRON Veronique POSITION,PIERRON Veronique LAP TIME,PIERRON Veronique ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Hitomi SAITO POSITION,Hitomi SAITO LAP TIME,Hitomi SAITO ELAPSED TIME,BURIC Katarina POSITION,BURIC Katarina LAP TIME,BURIC Katarina ELAPSED TIME,HAN Yu Tong POSITION,HAN Yu Tong LAP TIME,HAN Yu Tong ELAPSED TIME
3,13.56,13.56,2,13.40,13.40,4,13.64,13.64,5,13.89,13.89,1,13.26,13.26
3,10.41,23.97,2,10.44,23.84,4,10.43,24.07,5,10.27,24.16,1,10.47,23.73
3,10.60,34.57,2,10.61,34.45,4,10.60,34.67,5,10.62,34.78,1,10.58,34.31
2,9.95,44.52,3,10.19,44.64,4,10.04,44.71,5,10.50,45.28,1,10.08,44.39
2,9.56,54.08,3,9.52,54.16,4,9.57,54.28,5,10.31,55.59,1,9.60,53.99
3,9.75,1:03.83,2,9.64,1:03.80,4,9.68,1:03.96,5,10.70,1:06.29,1,9.75,1:03.74
3,9.78,1:13.61,1,9.63,1:13.43,4,9.77,1:13.73,5,11.03,1:17.32,2,9.85,1:13.59
2,9.48,1:23.09,1,9.58,1:23.01,4,9.61,1:23.34,5,11.55,1:28.87,3,9.67,1:23.26
2,9.58,1:32.663,1,9.57,1:32.572,4,9.63,1:32.970,5,11.97,1:40.835,3,9.49,1:32.742
