CHOI Min Jeong POSITION,CHOI Min Jeong LAP TIME,CHOI Min Jeong ELAPSED TIME,Hannah MORRISON POSITION,Hannah MORRISON LAP TIME,Hannah MORRISON ELAPSED TIME,KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,Selma POUTSMA POSITION,Selma POUTSMA LAP TIME,Selma POUTSMA ELAPSED TIME,MASCITTO Cynthia POSITION,MASCITTO Cynthia LAP TIME,MASCITTO Cynthia ELAPSED TIME
3,14.91,14.91,4,15.07,15.07,1,14.68,14.68,5,15.20,15.20,2,14.78,
3,11.89,26.80,4,11.75,26.82,1,11.80,26.48,5,11.84,27.04,2,11.79,
3,10.50,37.30,4,10.68,37.50,1,10.68,37.16,5,10.49,37.53,2,10.70,
1,9.46,46.76,5,9.66,47.16,2,9.73,46.89,3,9.37,46.90,4,9.72,
1,9.63,56.39,5,9.63,56.79,2,9.58,56.47,4,9.74,56.64,3,9.56,
1,9.69,1:06.08,5,9.71,1:06.50,2,9.72,1:06.19,4,9.73,1:06.37,3,9.72,
1,9.70,1:15.78,5,9.86,1:16.36,2,9.71,1:15.90,4,9.74,1:16.11,3,9.74,
1,9.64,1:25.42,5,10.20,1:26.56,2,9.69,1:25.59,4,9.70,1:25.81,3,9.66,
1,9.76,1:35.18,5,10.77,1:37.33,4,10.61,1:36.20,3,10.01,1:35.82,2,9.88,
