Bernadett HEIDUM POSITION,Bernadett HEIDUM LAP TIME,Bernadett HEIDUM ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
2,13.22,13.22,3,13.33,13.33,1,13.20,13.20,4,13.48,13.48,5,13.60,13.60
1,10.36,23.58,2,10.33,23.66,3,10.55,23.75,4,10.36,23.84,5,10.32,23.92
1,10.99,34.57,2,10.99,34.65,3,10.98,34.73,4,11.03,34.87,5,11.00,34.92
2,10.21,44.78,1,9.97,44.62,3,10.14,44.87,4,10.13,45.00,5,10.21,45.13
2,9.55,54.33,1,9.61,54.23,3,9.57,54.44,4,9.58,54.58,5,9.55,54.68
2,9.36,1:03.69,1,9.35,1:03.58,3,9.35,1:03.79,4,9.37,1:03.95,5,9.39,1:04.07
2,9.31,1:13.00,1,9.33,1:12.91,3,9.29,1:13.08,4,9.24,1:13.19,5,9.37,1:13.44
2,9.38,1:22.38,1,9.41,1:22.32,4,9.76,1:22.84,3,9.27,1:22.46,5,9.69,1:23.13
2,9.64,1:32.011,1,9.63,1:31.945,4,9.83,1:32.663,3,9.61,1:32.063,5,10.06,1:33.188
