KRUZBERGS Karlis POSITION,KRUZBERGS Karlis LAP TIME,KRUZBERGS Karlis ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,Victor AN POSITION,Victor AN LAP TIME,Victor AN ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME
1,12.68,12.68,2,12.74,12.74,3,12.83,12.83,4,12.89,12.89,5,12.98,12.98,6,13.12,13.12
3,10.14,22.82,2,10.06,22.80,1,9.94,22.77,4,10.10,22.99,5,10.12,23.10,6,10.12,23.24
3,9.39,32.21,2,9.33,32.13,1,9.29,32.06,4,9.34,32.33,5,9.33,32.43,6,9.35,32.59
4,9.36,41.57,2,9.25,41.38,1,9.24,41.30,3,9.14,41.47,5,9.17,41.60,6,9.12,41.71
5,9.46,51.03,2,9.08,50.46,1,9.08,50.38,3,9.09,50.56,4,9.24,50.84,6,9.44,51.15
5,9.07,1:00.10,2,9.09,59.55,1,9.10,59.48,3,9.08,59.64,4,9.14,59.98,6,9.60,1:00.75
5,9.14,1:09.24,1,8.82,1:08.37,3,9.17,1:08.65,2,8.84,1:08.48,4,9.20,1:09.18,6,9.86,1:10.61
4,9.40,1:18.64,1,8.78,1:17.15,3,9.03,1:17.68,2,8.77,1:17.25,5,9.62,1:18.80,6,10.56,1:21.17
4,9.80,1:28.441,1,8.83,1:25.98,3,9.27,1:26.957,2,8.93,1:26.18,5,9.93,1:28.738,6,12.16,1:33.331
