Fabio CARTA POSITION,Fabio CARTA LAP TIME,Fabio CARTA ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME,Gregory DURAND POSITION,Gregory DURAND LAP TIME,Gregory DURAND ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Mathieu GIROUX POSITION,Mathieu GIROUX LAP TIME,Mathieu GIROUX ELAPSED TIME
5,8.930,8.930,4,8.700,8.700,3,8.670,8.670,2,8.660,8.660,1,8.030,8.030
3,11.710,20.640,4,11.960,20.670,2,11.940,20.620,5,12.040,20.700,1,12.270,20.310
2,10.070,30.720,4,10.270,30.950,3,10.290,30.910,5,10.350,31.060,1,10.200,30.510
3,10.620,41.340,2,10.290,41.240,4,10.430,41.350,5,10.440,41.500,1,10.460,40.980
2,10.060,51.410,3,10.260,51.500,5,10.230,51.580,4,10.060,51.560,1,10.310,51.290
3,10.070,1:01.490,2,9.940,1:01.450,4,9.940,1:01.530,5,10.290,1:01.860,1,9.820,1:01.120
2,10.040,1:11.530,3,10.090,1:11.540,4,10.020,1:11.560,5,9.780,1:11.650,1,10.110,1:11.230
4,10.110,1:21.640,3,10.070,1:21.620,2,10.050,1:21.610,5,10.220,1:21.870,1,10.280,1:21.510
2,9.890,1:31.540,3,9.990,1:31.620,4,10.160,1:31.780,5,10.100,1:31.980,1,9.940,1:31.460
3,10.090,1:41.640,2,10.010,1:41.630,4,9.950,1:41.730,5,9.930,1:41.910,1,9.880,1:41.350
1,9.330,1:50.970,3,9.600,1:51.230,4,9.630,1:51.360,5,9.590,1:51.510,2,9.640,1:50.990
2,9.500,2:00.480,3,9.540,2:00.770,4,9.910,2:01.270,5,9.910,2:01.420,1,9.220,2:00.210
2,9.500,2:09.980,3,9.510,2:10.280,4,10.220,2:11.490,5,10.190,2:11.610,1,9.590,2:09.800
2,9.860,2:19.850,3,9.640,2:19.930,4,10.730,2:22.230,5,10.930,2:22.550,1,9.900,2:19.710
