MIYATA Shogo POSITION,MIYATA Shogo LAP TIME,MIYATA Shogo ELAPSED TIME,GOEMINNE Gert-Jan POSITION,GOEMINNE Gert-Jan LAP TIME,GOEMINNE Gert-Jan ELAPSED TIME,TREACY Niall POSITION,TREACY Niall LAP TIME,TREACY Niall ELAPSED TIME,Murat TAHTACI POSITION,Murat TAHTACI LAP TIME,Murat TAHTACI ELAPSED TIME,KHALIL Khairil Ridhwan POSITION,KHALIL Khairil Ridhwan LAP TIME,KHALIL Khairil Ridhwan ELAPSED TIME
1,6.95,6.95,2,7.09,7.09,3,7.18,7.18,4,7.44,7.44,5,7.83,7.83
2,9.15,16.10,1,8.93,16.02,3,8.98,16.16,4,9.05,16.49,5,9.47,17.30
2,8.73,24.83,1,8.70,24.72,3,8.79,24.95,4,8.55,25.04,5,9.02,26.32
2,8.70,33.53,1,8.66,33.38,3,8.68,33.63,4,8.75,33.79,5,9.14,35.46
3,8.78,42.318,1,8.78,42.16,2,8.66,42.291,4,8.70,42.499,5,9.43,44.891
